product_code,standard_size
Z9234675018,2.4
X3614950728,1.2
G1372684095,1.6
E2750948361,1.6
S8641372590,1.2
C4201386579,2.6
Q9741630258,1.7
W2837169450,2.9
E2049165378,2.8
Y9034267851,2.9
I6379042518,1.7
A9710684325,2.7
V4386051279,1.3
Z6079245831,2.3
Y8920647513,2.2
A0346921587,2.2
K2178436059,1.8
D4862715309,1.9
C9482703615,1.5
T2017496385,2.4
N1825379640,1.2
Z0459217386,2.0
I3147258690,2.1
O2653418970,1.4
P4076582913,1.4
H9801745326,1.5
V0572684931,1.3
Y7683054912,2.3
G5264389170,2.7
P5230861794,2.7
X7813952406,1.8
V7642059831,2.9
C5931270864,1.6
F7503486921,1.3
U8214037695,2.1
O7465921308,2.6
R5064891372,1.9
N5413890627,2.6
F0127359864,2.5
F6782315094,2.5
K9138245067,2.1
T8073295461,1.6
J0765128943,1.8
B8605237149,2.2
S2386479105,2.4
I8541763902,1.3
Y4278316590,2.8
V9178542036,2.8
S7314920865,2.4
U0351867429,2.2
X2967540318,2.5
U1859604723,2.4
P2807364591,2.8
E3807516924,2.7
C1764890325,2.9
C6531807924,1.7
X9024876531,3.0
U1203658497,1.4
F3708249156,2.9
L5279601843,2.7
H2863907514,3.0
J2075816934,2.5
D1687094325,1.8
Y7538192640,1.8
Z6870594312,2.8
X5872316409,2.4
K1065974823,2.9
G7543180692,1.2
R3967258104,1.3
Z8307294156,2.3
T2143687590,2.8
R9064182375,2.7
D2758496031,1.9
C1892763450,1.1
P8463170259,1.4
K6845702319,2.0
N0519678432,2.9
R3298750461,2.2
Y2635049781,2.8
I6154380297,2.0
Y9704126358,2.0
V5348679021,2.2
Q6530148792,2.7
I2704198563,2.0
P4029136875,1.1
V5827401963,3.0
Q7203985146,1.7
B3516829704,1.3
Y0298371645,2.3
B0219386745,2.9
