day,plant_code,client_code,vehicle_id,vehicle_type,qty,carry_standard_size,min_standard_size,occupied_size
1,8030,A1235894,31,14.7,21.0,156,92,54.6
1,8030,A8907514,14,14.7,49.0,156,92,137.2
1,8030,A9085374,20,14.7,86.0,156,92,129.0
1,8030,C4703619,30,14.7,22.0,156,92,33.0
1,8030,C4703619,36,14.7,4.0,156,92,6.0
1,8030,L5348621,25,14.7,6.0,156,92,13.799999999999999
1,8030,O3764592,35,14.7,38.0,156,92,79.8
1,8030,P4386502,15,14.7,53.0,156,92,153.7
1,8030,P4386502,16,14.4,7.0,153,104,20.3
1,8030,T7653841,18,14.7,57.0,156,92,153.9
1,8030,T7653841,19,14.4,18.0,153,104,48.6
1,8030,T7653841,29,14.7,104.0,156,92,156.0
1,8030,T7653841,32,14.7,82.0,156,92,123.0
1,8030,U4280179,23,14.7,67.0,156,92,154.1
1,8030,U4280179,24,14.4,48.0,153,104,110.39999999999999
1,8030,U9084361,33,14.7,43.0,156,92,55.9
1,8030,V5801793,6,14.7,58.0,156,92,87.0
1,8030,Y5863019,26,14.7,119.0,156,92,154.70000000000002
1,8030,Y7391654,17,14.7,71.0,156,92,127.8
1,8030,Y7391654,21,14.7,62.0,156,92,155.0
1,8030,Y7391654,22,14.4,53.0,153,104,132.5
1,8030,Y7391654,27,14.7,59.0,156,92,153.4
1,8030,Y7391654,28,14.4,13.0,153,104,33.800000000000004
1,8030,Y7391654,34,14.7,53.0,156,92,111.30000000000001
1,9373,A9085374,10,14.7,104.0,156,92,156.0
1,9373,A9085374,13,14.7,72.0,156,92,151.20000000000002
1,9373,B1379542,5,14.7,5.0,156,92,10.5
1,9373,P4386502,2,14.7,52.0,156,92,110.8
1,9373,P4386502,12,14.7,104.0,156,92,156.0
1,9373,R9032817,4,14.4,66.0,153,104,85.8
1,9373,S4920685,3,14.4,28.0,153,104,48.1
1,9373,S4920685,57,14.7,25.0,156,92,37.5
1,9373,T2503984,58,14.7,8.0,156,92,15.2
1,9373,T7653841,9,14.7,53.0,156,92,153.7
1,9373,U4280179,1,14.7,59.0,156,92,153.4
1,9373,U4280179,8,14.7,40.0,156,92,116.0
1,9373,U8103459,69,14.7,67.0,156,92,154.1
1,9373,U9084361,11,14.7,57.0,156,92,153.9
1,9373,V5801793,60,14.7,52.0,156,92,98.8
1,9373,Y5863019,65,14.4,93.0,153,104,139.5
1,9373,Y5863019,67,14.4,53.0,153,104,132.5
1,9373,Y7391654,7,14.7,7.0,156,92,10.5
3,8030,J5380941,39,14.7,4.0,156,92,11.2
3,8030,S4920685,48,14.7,4.0,156,92,10.0
3,8030,S4920685,49,14.7,32.0,156,92,48.0
3,8030,T2503984,38,14.7,4.0,156,92,8.4
3,8030,T2503984,43,14.7,4.0,156,92,10.8
3,8030,T2503984,45,14.7,59.0,156,92,88.5
3,8030,T2503984,46,14.7,4.0,156,92,5.2
3,8030,T2503984,50,14.4,59.0,153,104,112.1
3,8030,U8103459,47,14.7,4.0,156,92,9.2
3,8030,Y5863019,37,14.7,4.0,156,92,10.4
3,8030,Y5863019,40,14.7,4.0,156,92,6.0
3,8030,Y5863019,41,14.7,4.0,156,92,7.2
3,8030,Y5863019,42,14.7,4.0,156,92,11.6
3,8030,Y5863019,44,14.7,4.0,156,92,6.0
3,9373,C4703619,66,14.7,38.0,156,92,57.0
3,9373,K5047826,59,14.7,8.0,156,92,12.0
3,9373,K5047826,61,14.7,50.0,156,92,95.0
3,9373,Q3790128,68,14.4,49.0,153,104,122.5
3,9373,R9032817,64,14.4,53.0,153,104,148.39999999999998
3,9373,T2503984,53,14.7,9.0,156,92,18.900000000000002
3,9373,T2503984,55,14.7,4.0,156,92,5.2
3,9373,T2503984,56,14.7,34.0,156,92,91.80000000000001
3,9373,T2503984,63,14.4,94.0,153,104,141.0
3,9373,U8103459,70,14.7,4.0,156,92,9.2
3,9373,Y5863019,51,14.7,4.0,156,92,11.6
3,9373,Y5863019,52,14.7,4.0,156,92,10.4
3,9373,Y5863019,54,14.7,55.0,156,92,82.5
3,9373,Y5863019,62,14.4,80.0,153,104,144.0
