plant_code,product_code,day,volume
4422,J5436708192,1,0.0
4422,J5436708192,2,0.0
4422,J5436708192,3,0.0
4422,A3190876425,1,0.0
4422,A3190876425,2,0.0
4422,A3190876425,3,0.0
4422,B3729615048,1,0.0
4422,B3729615048,2,0.0
4422,B3729615048,3,0.0
4422,H1504698327,1,0.0
4422,H1504698327,2,0.0
4422,H1504698327,3,0.0
4422,Y6712039845,1,0.0
4422,Y6712039845,2,0.0
4422,Y6712039845,3,0.0
4422,U1963204587,1,0.0
4422,U1963204587,2,0.0
4422,U1963204587,3,0.0
4422,H7195803462,1,0.0
4422,H7195803462,2,0.0
4422,H7195803462,3,0.0
4422,H0594812637,1,0.0
4422,H0594812637,2,0.0
4422,H0594812637,3,0.0
4422,G8952604371,1,0.0
4422,G8952604371,2,0.0
4422,G8952604371,3,0.0
4422,J9071243658,1,0.0
4422,J9071243658,2,0.0
4422,J9071243658,3,0.0
4422,W8601379542,1,0.0
4422,W8601379542,2,0.0
4422,W8601379542,3,0.0
4422,P2159078643,1,81.0
4422,P2159078643,2,20.0
4422,P2159078643,3,18.0
4422,U2135098746,1,241.0
4422,U2135098746,2,225.0
4422,U2135098746,3,145.0
4422,B7480962513,1,307.0
4422,B7480962513,2,282.0
4422,B7480962513,3,212.0
4422,S3984205176,1,0.0
4422,S3984205176,2,0.0
4422,S3984205176,3,0.0
4422,V7583940126,1,0.0
4422,V7583940126,2,0.0
4422,V7583940126,3,0.0
4422,R2587963014,1,0.0
4422,R2587963014,2,0.0
4422,R2587963014,3,0.0
4422,Q9304568172,1,0.0
4422,Q9304568172,2,0.0
4422,Q9304568172,3,0.0
4422,V0798364125,1,0.0
4422,V0798364125,2,0.0
4422,V0798364125,3,0.0
4422,I9371586042,1,0.0
4422,I9371586042,2,0.0
4422,I9371586042,3,0.0
4422,H0893712465,1,0.0
4422,H0893712465,2,0.0
4422,H0893712465,3,0.0
4422,A4813206795,1,0.0
4422,A4813206795,2,0.0
4422,A4813206795,3,0.0
4422,B0729386514,1,0.0
4422,B0729386514,2,0.0
4422,B0729386514,3,0.0
4422,W2785940136,1,0.0
4422,W2785940136,2,0.0
4422,W2785940136,3,0.0
4422,G0752836941,1,435.0
4422,G0752836941,2,415.0
4422,G0752836941,3,338.0
4422,L3195670842,1,348.0
4422,L3195670842,2,422.0
4422,L3195670842,3,344.0
4422,L6974218350,1,0.0
4422,L6974218350,2,0.0
4422,L6974218350,3,0.0
4422,C8163457902,1,0.0
4422,C8163457902,2,0.0
4422,C8163457902,3,0.0
4422,K8140962735,1,160.0
4422,K8140962735,2,103.0
4422,K8140962735,3,59.0
4422,B9341058627,1,0.0
4422,B9341058627,2,0.0
4422,B9341058627,3,0.0
4422,M7809324561,1,312.0
4422,M7809324561,2,289.0
4422,M7809324561,3,265.0
4422,A5328079164,1,449.0
4422,A5328079164,2,448.0
4422,A5328079164,3,303.0
4422,D3419562078,1,263.0
4422,D3419562078,2,287.0
4422,D3419562078,3,222.0
4422,Z4978532061,1,0.0
4422,Z4978532061,2,0.0
4422,Z4978532061,3,0.0
4422,T8647391250,1,256.0
4422,T8647391250,2,232.0
4422,T8647391250,3,229.0
4422,O1604352789,1,0.0
4422,O1604352789,2,0.0
4422,O1604352789,3,0.0
4422,V6405312798,1,0.0
4422,V6405312798,2,0.0
4422,V6405312798,3,0.0
4422,J4352187906,1,0.0
4422,J4352187906,2,0.0
4422,J4352187906,3,0.0
4422,U6328479051,1,0.0
4422,U6328479051,2,0.0
4422,U6328479051,3,0.0
4422,M8430169572,1,0.0
4422,M8430169572,2,0.0
4422,M8430169572,3,0.0
2773,J5436708192,1,0.0
2773,J5436708192,2,0.0
2773,J5436708192,3,0.0
2773,A3190876425,1,216.0
2773,A3190876425,2,186.0
2773,A3190876425,3,66.0
2773,B3729615048,1,0.0
2773,B3729615048,2,0.0
2773,B3729615048,3,0.0
2773,H1504698327,1,0.0
2773,H1504698327,2,0.0
2773,H1504698327,3,0.0
2773,Y6712039845,1,0.0
2773,Y6712039845,2,0.0
2773,Y6712039845,3,0.0
2773,U1963204587,1,0.0
2773,U1963204587,2,0.0
2773,U1963204587,3,0.0
2773,H7195803462,1,0.0
2773,H7195803462,2,0.0
2773,H7195803462,3,0.0
2773,H0594812637,1,0.0
2773,H0594812637,2,0.0
2773,H0594812637,3,0.0
2773,G8952604371,1,273.0
2773,G8952604371,2,367.0
2773,G8952604371,3,227.0
2773,J9071243658,1,314.0
2773,J9071243658,2,313.0
2773,J9071243658,3,255.0
2773,W8601379542,1,0.0
2773,W8601379542,2,0.0
2773,W8601379542,3,0.0
2773,P2159078643,1,0.0
2773,P2159078643,2,0.0
2773,P2159078643,3,0.0
2773,U2135098746,1,0.0
2773,U2135098746,2,0.0
2773,U2135098746,3,0.0
2773,B7480962513,1,0.0
2773,B7480962513,2,0.0
2773,B7480962513,3,0.0
2773,S3984205176,1,0.0
2773,S3984205176,2,0.0
2773,S3984205176,3,0.0
2773,V7583940126,1,0.0
2773,V7583940126,2,0.0
2773,V7583940126,3,0.0
2773,R2587963014,1,0.0
2773,R2587963014,2,0.0
2773,R2587963014,3,0.0
2773,Q9304568172,1,0.0
2773,Q9304568172,2,0.0
2773,Q9304568172,3,0.0
2773,V0798364125,1,0.0
2773,V0798364125,2,0.0
2773,V0798364125,3,0.0
2773,I9371586042,1,0.0
2773,I9371586042,2,0.0
2773,I9371586042,3,0.0
2773,H0893712465,1,504.0
2773,H0893712465,2,566.0
2773,H0893712465,3,418.0
2773,A4813206795,1,0.0
2773,A4813206795,2,0.0
2773,A4813206795,3,0.0
2773,B0729386514,1,0.0
2773,B0729386514,2,0.0
2773,B0729386514,3,0.0
2773,W2785940136,1,0.0
2773,W2785940136,2,0.0
2773,W2785940136,3,0.0
2773,G0752836941,1,0.0
2773,G0752836941,2,0.0
2773,G0752836941,3,0.0
2773,L3195670842,1,0.0
2773,L3195670842,2,0.0
2773,L3195670842,3,0.0
2773,L6974218350,1,0.0
2773,L6974218350,2,0.0
2773,L6974218350,3,0.0
2773,C8163457902,1,324.0
2773,C8163457902,2,334.0
2773,C8163457902,3,263.0
2773,K8140962735,1,0.0
2773,K8140962735,2,0.0
2773,K8140962735,3,0.0
2773,B9341058627,1,291.0
2773,B9341058627,2,310.0
2773,B9341058627,3,184.0
2773,M7809324561,1,0.0
2773,M7809324561,2,0.0
2773,M7809324561,3,0.0
2773,A5328079164,1,0.0
2773,A5328079164,2,0.0
