product_code,standard_size
A7951230486,1.4
X5736849201,1.3
A7832564091,3.0
Y3825196470,1.6
H6740523981,2.1
A9172536408,2.7
W6320817954,1.6
S5970243816,2.2
G1407529683,1.6
X2657104938,2.4
X9102347865,1.4
F2635470891,1.4
T8057429316,1.8
E0912537864,2.7
J8297406351,2.6
K3429075186,1.1
U9182563704,1.4
F6530749821,1.1
C7320895416,2.8
S9074316285,1.4
D2103695478,2.2
U3806914527,2.0
P4319506872,1.9
X5026937841,1.4
X7280935614,1.7
E5698740231,2.1
O6174832095,2.3
M8146230795,1.4
G5316980247,1.4
L3697824105,1.2
A4183592760,1.3
I6407381925,2.8
A9534601782,2.7
W8150934672,2.0
Z8407953216,2.3
T4926781530,2.6
Z8651049372,2.2
N7638159024,2.1
L0215847396,2.6
M6937051428,1.1
A4190285736,2.1
F0324975861,2.2
Y6914370852,1.3
M5192430876,1.3
X1087435962,1.7
M7265410938,1.3
Z9763182054,1.1
X6918502374,1.1
U2064785931,2.3
N4763109258,1.6
B9043876251,2.5
