plant_code,product_code,day,volume
8730,V5107386492,1,485.0
8730,V5107386492,2,446.0
8730,V5107386492,3,424.0
8730,H4839201756,1,336.0
8730,H4839201756,2,327.0
8730,H4839201756,3,275.0
8730,I0384926517,1,296.0
8730,I0384926517,2,184.0
8730,I0384926517,3,65.0
8730,M9056123748,1,136.0
8730,M9056123748,2,136.0
8730,M9056123748,3,136.0
8730,M6459318072,1,88.0
8730,M6459318072,2,88.0
8730,M6459318072,3,88.0
8730,B1053849726,1,250.0
8730,B1053849726,2,246.0
8730,B1053849726,3,170.0
8730,P6207193458,1,0.0
8730,P6207193458,2,0.0
8730,P6207193458,3,0.0
8730,X3582067914,1,0.0
8730,X3582067914,2,0.0
8730,X3582067914,3,0.0
8730,K6314728590,1,443.0
8730,K6314728590,2,406.0
8730,K6314728590,3,358.0
8730,G5984360217,1,308.0
8730,G5984360217,2,192.0
8730,G5984360217,3,29.0
8730,M7482510639,1,208.0
8730,M7482510639,2,208.0
8730,M7482510639,3,208.0
8730,L3520769184,1,165.0
8730,L3520769184,2,135.0
8730,L3520769184,3,73.0
8730,T1980375624,1,417.0
8730,T1980375624,2,422.0
8730,T1980375624,3,349.0
8730,V0827593614,1,0.0
8730,V0827593614,2,0.0
8730,V0827593614,3,0.0
8730,T1704653289,1,378.0
8730,T1704653289,2,352.0
8730,T1704653289,3,316.0
8730,H6130748259,1,630.0
8730,H6130748259,2,681.0
8730,H6130748259,3,486.0
8730,Q7503419862,1,0.0
8730,Q7503419862,2,0.0
8730,Q7503419862,3,0.0
8730,R8931427056,1,0.0
8730,R8931427056,2,0.0
8730,R8931427056,3,0.0
8730,D2175380496,1,0.0
8730,D2175380496,2,0.0
8730,D2175380496,3,0.0
8730,U4568032791,1,223.0
8730,U4568032791,2,166.0
8730,U4568032791,3,48.0
8730,W6079514382,1,252.0
8730,W6079514382,2,197.0
8730,W6079514382,3,49.0
8730,X8213096574,1,397.0
8730,X8213096574,2,430.0
8730,X8213096574,3,377.0
8730,M4295610387,1,115.0
8730,M4295610387,2,115.0
8730,M4295610387,3,115.0
8730,W6973801254,1,466.0
8730,W6973801254,2,464.0
8730,W6973801254,3,418.0
8730,M8235014976,1,425.0
8730,M8235014976,2,382.0
8730,M8235014976,3,284.0
8730,C8706394521,1,323.0
8730,C8706394521,2,215.0
8730,C8706394521,3,71.0
8730,N3075192486,1,0.0
8730,N3075192486,2,0.0
8730,N3075192486,3,0.0
2701,V5107386492,1,0.0
2701,V5107386492,2,0.0
2701,V5107386492,3,0.0
2701,H4839201756,1,0.0
2701,H4839201756,2,0.0
2701,H4839201756,3,0.0
2701,I0384926517,1,0.0
2701,I0384926517,2,0.0
2701,I0384926517,3,0.0
2701,M9056123748,1,229.0
2701,M9056123748,2,263.0
2701,M9056123748,3,166.0
2701,M6459318072,1,259.0
2701,M6459318072,2,240.0
2701,M6459318072,3,167.0
2701,B1053849726,1,249.0
2701,B1053849726,2,244.0
2701,B1053849726,3,244.0
2701,P6207193458,1,568.0
2701,P6207193458,2,559.0
2701,P6207193458,3,432.0
2701,X3582067914,1,457.0
2701,X3582067914,2,440.0
2701,X3582067914,3,319.0
2701,K6314728590,1,0.0
2701,K6314728590,2,0.0
2701,K6314728590,3,0.0
2701,G5984360217,1,0.0
2701,G5984360217,2,0.0
2701,G5984360217,3,0.0
2701,M7482510639,1,165.0
2701,M7482510639,2,118.0
2701,M7482510639,3,104.0
2701,L3520769184,1,0.0
2701,L3520769184,2,0.0
2701,L3520769184,3,0.0
2701,T1980375624,1,0.0
2701,T1980375624,2,0.0
2701,T1980375624,3,0.0
2701,V0827593614,1,401.0
2701,V0827593614,2,413.0
2701,V0827593614,3,365.0
2701,T1704653289,1,0.0
2701,T1704653289,2,0.0
2701,T1704653289,3,0.0
2701,H6130748259,1,0.0
2701,H6130748259,2,0.0
2701,H6130748259,3,0.0
2701,Q7503419862,1,321.0
2701,Q7503419862,2,227.0
2701,Q7503419862,3,59.0
2701,R8931427056,1,419.0
2701,R8931427056,2,353.0
2701,R8931427056,3,52.0
2701,D2175380496,1,556.0
2701,D2175380496,2,508.0
2701,D2175380496,3,394.0
2701,U4568032791,1,0.0
2701,U4568032791,2,0.0
2701,U4568032791,3,0.0
2701,W6079514382,1,0.0
2701,W6079514382,2,0.0
2701,W6079514382,3,0.0
2701,X8213096574,1,0.0
2701,X8213096574,2,0.0
2701,X8213096574,3,0.0
2701,M4295610387,1,400.0
2701,M4295610387,2,420.0
2701,M4295610387,3,290.0
2701,W6973801254,1,0.0
2701,W6973801254,2,0.0
2701,W6973801254,3,0.0
2701,M8235014976,1,0.0
2701,M8235014976,2,0.0
2701,M8235014976,3,0.0
2701,C8706394521,1,0.0
2701,C8706394521,2,0.0
2701,C8706394521,3,0.0
2701,N3075192486,1,417.0
2701,N3075192486,2,397.0
2701,N3075192486,3,318.0
