plant_code,day,client_code,vehicle_id,vehicle_type,qty,carry_standard_size,min_standard_size,occupied_size
4343,3,P5631024,1,16.1,5.0,157,114,8.5
4351,5,E6351297,1,12.9,14.0,118,75,21.0
4351,6,Q0784239,1,16.1,25.0,157,114,37.5
6478,1,Q8614523,1,12.9,14.0,118,75,18.2
6478,2,Q0784239,1,18.5,15.0,193,97,27.0
6478,4,Q0784239,1,18.5,1.0,193,97,1.8
6478,7,Z1465798,1,17.8,8.0,186,121,16.8
4343,3,P5631024,1,16.1,12.0,157,114,13.2
4351,5,E6351297,1,12.9,9.0,118,75,9.9
4351,6,Q0784239,1,16.1,16.0,157,114,17.6
6478,1,Q8614523,1,12.9,14.0,118,75,22.4
6478,2,Q0784239,1,18.5,11.0,193,97,18.7
6478,4,Q0784239,1,18.5,13.0,193,97,26.0
6478,7,Z1465798,1,17.8,4.0,186,121,8.4
4343,3,P5631024,1,16.1,13.0,157,114,19.5
4351,5,E6351297,1,12.9,15.0,118,75,22.5
4351,6,Q0784239,1,16.1,2.0,157,114,3.0
6478,1,Q8614523,1,12.9,8.0,118,75,9.6
6478,2,Q0784239,1,18.5,18.0,193,97,34.2
6478,4,Q0784239,1,18.5,14.0,193,97,23.8
6478,7,Z1465798,1,17.8,8.0,186,121,10.4
4343,3,P5631024,1,16.1,16.0,157,114,20.8
4351,5,E6351297,1,12.9,7.0,118,75,9.1
4351,6,Q0784239,1,16.1,6.0,157,114,7.800000000000001
6478,1,Q8614523,1,12.9,10.0,118,75,11.0
6478,2,Q0784239,1,18.5,22.0,193,97,28.6
6478,4,Q0784239,1,18.5,14.0,193,97,26.6
6478,7,Z1465798,1,17.8,15.0,186,121,24.0
4343,3,P5631024,1,16.1,14.0,157,114,19.6
4351,5,E6351297,1,12.9,6.0,118,75,8.399999999999999
4351,6,Q0784239,1,16.1,5.0,157,114,6.0
6478,1,Q8614523,1,12.9,18.0,118,75,19.8
6478,2,Q0784239,1,18.5,7.0,193,97,11.2
6478,4,Q0784239,1,18.5,2.0,193,97,2.6
6478,7,Z1465798,1,17.8,23.0,186,121,25.3
4343,3,P5631024,1,16.1,20.0,157,114,22.0
4351,5,E6351297,1,12.9,6.0,118,75,6.6000000000000005
4351,6,Q0784239,1,16.1,2.0,157,114,2.8
6478,1,Q8614523,1,12.9,16.0,118,75,17.6
6478,2,Q0784239,1,18.5,9.0,193,97,10.8
6478,4,Q0784239,1,18.5,10.0,193,97,16.0
6478,7,Z1465798,1,17.8,12.0,186,121,13.2
4343,3,P5631024,1,16.1,17.0,157,114,27.200000000000003
4351,5,E6351297,1,12.9,18.0,118,75,18.0
4351,6,Q0784239,1,16.1,15.0,157,114,16.5
6478,1,Q8614523,1,12.9,17.0,118,75,18.700000000000003
6478,2,Q0784239,1,18.5,1.0,193,97,1.9
6478,4,Q0784239,1,18.5,5.0,193,97,6.0
6478,7,Z1465798,1,17.8,12.0,186,121,14.4
4343,3,P5631024,1,16.1,20.0,157,114,20.0
4351,5,E6351297,1,12.9,20.0,118,75,22.0
4351,6,Q0784239,1,16.1,11.0,157,114,12.1
6478,1,V2475913,2,17.8,12.0,186,121,21.6
6478,2,Q0784239,1,18.5,4.0,193,97,4.4
6478,4,Q0784239,1,18.5,19.0,193,97,36.1
6478,7,Z1465798,1,17.8,9.0,186,121,17.099999999999998
4343,3,P5631024,1,16.1,5.0,157,114,5.5
4351,5,V2475913,2,16.1,13.0,157,114,19.5
4351,6,Q0784239,1,16.1,14.0,157,114,22.4
6478,1,V2475913,2,17.8,18.0,186,121,30.6
6478,2,Q0784239,1,18.5,7.0,193,97,7.700000000000001
6478,4,Q0784239,1,18.5,8.0,193,97,8.8
6478,7,Z1465798,1,17.8,18.0,186,121,19.8
4351,3,E4823501,2,17.8,20.0,186,121,30.0
4351,5,V2475913,2,16.1,23.0,157,114,25.3
4351,6,Q0784239,1,16.1,12.0,157,114,12.0
6478,1,V2475913,2,17.8,7.0,186,121,9.1
6478,2,Q0784239,1,18.5,11.0,193,97,12.1
6478,4,Q0784239,1,18.5,6.0,193,97,6.6000000000000005
6478,7,Z1465798,1,17.8,24.0,186,121,26.4
4351,3,E4823501,2,17.8,23.0,186,121,25.3
4351,5,V2475913,2,16.1,11.0,157,114,16.5
4351,6,Q0784239,1,16.1,17.0,157,114,18.700000000000003
6478,1,V2475913,2,17.8,21.0,186,121,33.6
6478,2,Q0784239,1,18.5,15.0,193,97,16.5
6478,4,Q0784239,1,18.5,20.0,193,97,22.0
6478,7,Z1465798,1,17.8,4.0,186,121,9.6
4343,6,R8179205,2,17.8,24.0,186,121,26.4
4351,3,E4823501,2,17.8,19.0,186,121,28.5
4351,5,V2475913,2,16.1,22.0,157,114,28.6
4351,7,U6810439,2,18.5,21.0,193,97,37.8
6478,1,V2475913,2,17.8,7.0,186,121,8.4
6478,2,Q0784239,1,18.5,10.0,193,97,19.0
6478,4,Q0784239,1,18.5,7.0,193,97,7.700000000000001
4343,6,R8179205,2,17.8,27.0,186,121,40.5
4351,2,Q0784239,2,16.1,6.0,157,114,9.0
4351,3,E4823501,2,17.8,21.0,186,121,27.3
4351,5,V2475913,2,16.1,7.0,157,114,8.4
4351,7,U6810439,2,18.5,5.0,193,97,7.5
6478,1,V2475913,2,17.8,8.0,186,121,15.2
6478,4,Q0784239,1,18.5,4.0,193,97,7.6
4343,6,R8179205,2,17.8,11.0,186,121,14.3
4351,2,Q0784239,2,16.1,11.0,157,114,12.1
4351,3,E4823501,2,17.8,8.0,186,121,9.6
4351,5,V2475913,2,16.1,20.0,157,114,22.0
4351,7,U6810439,2,18.5,18.0,193,97,23.4
6478,1,V2475913,2,17.8,26.0,186,121,28.6
6478,4,P5631024,3,16.1,12.0,157,114,21.6
4343,6,R8179205,2,17.8,7.0,186,121,11.2
