product_code,standard_size
Y5192384670,1.2
F3761059482,1.2
K7430816529,2.6
K6583170924,1.2
L4829763501,2.9
O8340162597,2.5
V3540721689,1.4
L9358761204,2.0
M8569017234,1.9
Y5720618394,2.8
W4296015837,1.7
S2738415690,1.6
O4093618725,2.7
K9871603452,1.7
S0439671825,2.1
K2096734815,2.5
J7280564391,1.5
N4216357890,1.1
T6920413578,1.2
F2140765389,1.5
W2968473015,2.6
Q5734106928,2.8
G6240893715,2.7
R3514267890,2.1
L6153284097,1.8
O7863219450,2.2
A7568213409,2.1
A8741352096,1.3
I1820394756,1.6
R1452803976,2.3
L6432809175,1.8
D0619357248,2.7
W8726059431,2.9
F9854670132,1.4
