product_code,standard_size
Z3758962401,2.7
X4267835910,2.8
S5709482631,2.5
K9651034278,2.9
P1540872936,2.6
M6985174302,2.2
L4956287301,1.9
O5426183907,1.2
R1580724369,2.2
X1630257894,1.0
E7524619380,1.4
B9845701263,1.5
S7203451698,2.3
C4631082579,2.3
S7680291453,2.1
K4308927165,2.9
U4862195073,2.7
V2736945018,1.5
F9356487012,1.8
O5013724968,2.4
M0971623845,1.7
V6872549031,2.2
E0159243768,1.6
S4853910627,2.6
B3879054126,1.7
F2736049158,1.9
D5619072483,2.0
I7923450186,2.5
P0173946285,2.4
B2015498367,1.1
