product_code,standard_size
S2407658913,2.4
Q1397680452,2.6
F9810425763,1.7
P7125098346,1.1
Z2806351974,1.0
G7392568014,1.4
D1689702534,2.4
O6809741352,1.0
E9725034618,1.5
C0621584793,2.4
K6905374281,2.3
H9621458073,2.2
T7154829306,2.3
T3859410726,2.1
I9154276083,1.1
B3694810257,1.4
Z1278593640,2.2
P0738146259,2.9
F6902437518,1.6
R9763504182,2.6
Z9357086412,1.6
T2350489176,1.3
F5036279841,1.8
M2103974685,1.4
R7293406185,2.8
W6095238147,1.5
N1069738542,1.4
I4658709231,2.9
F9165078423,1.7
D0367258491,2.7
B0896354127,1.9
V2406195873,2.0
W2430759618,1.3
I9537681042,1.6
G7503418926,2.4
H5423609817,2.3
D2610479835,2.6
C4159307826,3.0
W1370829645,2.5
B4038591627,2.0
A0526713948,1.2
Z2563407891,2.4
D2375864109,1.5
E9438165027,1.3
L2381940756,2.2
V3567128049,1.0
Q9435280761,2.5
L2713549608,2.4
H4260759381,1.9
N7319248560,2.4
F0389461527,2.9
Z1573029846,1.6
M7168542930,1.6
J5143208796,2.9
Z2470136958,1.8
N1765940823,1.1
W8704126953,1.0
P8973264105,1.1
F1907543682,2.6
Z4513092687,2.6
S2176049385,1.9
V9703514286,2.1
Z2937406815,2.0
D9871206543,1.0
K7218630495,2.0
H2409356817,1.6
E9567243180,2.2
W4017682935,2.9
U1035479826,1.4
W0536492781,1.0
K7359628041,2.1
X5183962047,1.8
M1258079634,3.0
H9857403261,1.0
S9617532840,2.2
M5372149806,1.6
F0512498376,1.1
Z2690784315,2.0
W3029785614,2.7
