product_code,standard_size
D7149032586,2.4
X5176308942,2.6
E6025384197,2.9
U1469270853,1.2
B2967341580,2.9
U0279653148,2.5
Q4701639852,2.9
D8491532706,2.4
K0832574961,1.2
J7149258063,1.5
T5482371069,2.5
Y2583714069,1.2
E6057143892,2.3
I2349670581,1.5
R7420831596,2.1
N3507286419,2.8
S7319084526,1.4
Z1530498267,1.7
D6480973512,1.3
A1763094285,1.3
U9671243850,2.9
D6495807132,2.9
O7186243950,2.9
M1235906874,2.6
L5417692038,1.3
A0316872459,2.2
U4962105873,2.2
L0349618275,2.6
C6372485019,1.1
E8072165493,1.5
X1023986457,2.6
C9270864135,1.3
Z0425673918,2.4
V7296048513,2.0
C2189467350,1.6
D8731654029,2.0
