product_code,standard_size
D6213574890,1.8
I6475023189,2.3
M1285673490,1.5
Z2418903765,2.3
J0271934658,2.0
Q6987145203,2.9
L6193824570,2.9
M5821370694,2.1
H4179860532,3.0
P2074815396,2.0
C7031945286,2.9
L4296850137,1.2
L0972835164,2.4
A4790625318,2.7
L8206791354,2.8
G1760345289,1.9
K9350762841,2.7
G1327094658,1.1
N8609734152,1.7
H9123064758,1.1
J0831642957,1.7
U9240638517,2.2
H8374621950,2.4
Z9860751423,2.3
I2489506317,1.3
D6431270895,1.3
C2843679501,2.9
U8542197360,2.4
H0827164593,2.9
W1698240537,2.1
J7416958302,1.4
W1839527604,1.8
X3406782195,2.7
S0693528147,2.6
Q9531640872,1.8
J4189065372,2.0
F0894136752,1.3
E0953184267,2.0
H3085674921,1.5
E7915240863,1.0
G2805739641,1.2
O7528360419,2.6
E8603175942,2.3
Z8095647312,2.1
B4756218039,1.6
E9870165243,1.8
M4785031692,1.4
