product_code,standard_size
H1853497062,2.5
S6324018579,1.2
D7361985240,2.1
Q1597283604,2.7
P8709364251,2.1
D7328691045,1.2
C4725369108,1.6
N6417203895,2.3
K7038524961,1.1
I1079462358,1.0
S1832974056,1.8
V2156870349,1.4
I5216973408,1.1
S1342567089,2.6
D4089315672,1.4
U8274691035,2.3
T8097325641,1.9
F7139624058,2.4
T2894756013,2.4
X3609715482,1.0
J8326905174,2.0
D3807142596,1.4
Y3751698420,2.3
I7286390145,2.9
J6857290413,2.5
Z4965821307,2.9
S5498712036,1.2
P4851736290,1.8
S2874136509,2.8
Z4361975820,2.8
V3186924705,1.1
C9356402871,2.3
D5720643891,1.6
T1956283740,1.6
Q6479521380,1.6
M0493712568,1.2
C2187934056,2.8
M7580263914,3.0
F1748962530,1.9
M6750839124,2.1
Y8253469710,1.7
L1953078462,2.6
N7819534026,1.7
J3192580746,2.0
U6209837451,2.6
W0387159426,2.9
O5248369701,2.9
I6249538107,1.1
Y6540897132,3.0
D0942756318,2.3
H7018326549,2.9
Y5278406391,1.4
N2359861407,2.3
S4021697358,2.3
I2634509781,1.1
R0856137249,2.8
X8160235947,2.3
D5274186309,2.3
