product_code,standard_size
K8602493175,1.1
O3845960721,1.8
P5610823974,2.7
H7841253096,1.1
B2473806915,2.4
Y7450862931,1.5
P2917586430,2.0
B5962378410,1.2
D5317904682,1.6
G8160742539,2.8
A4763895012,2.8
Q1034578296,1.0
P7592603481,2.9
S8457902163,2.8
I6534728910,1.6
F0657831294,2.0
A4938657012,2.5
A3019587264,2.8
G9278134065,3.0
A3589761420,2.0
Y4921358670,1.0
Y6529381740,2.4
I5034967218,1.2
U7391504826,2.2
K8412679350,1.4
R9641520873,2.4
C1238049756,2.2
I5036948217,1.1
X2415809376,1.9
N5903286471,2.6
P8145976203,1.0
Y0285379164,1.4
I0654183927,1.3
P0536481297,2.7
N9271046583,2.0
G3109562487,1.9
H0582741693,1.9
F6829407153,1.9
I5362407918,1.4
S4608719325,1.8
B2759031864,2.9
M5124079836,1.6
L7516348029,2.3
I2071435986,2.6
D0614738952,1.7
B9120387564,1.9
P4582017396,1.8
U9403152786,2.4
V7506493281,2.4
B3280571496,2.7
R3879146205,2.8
V2645380791,1.2
U6279150843,2.7
