product_code,standard_size
O9241670358,2.4
Z5298037641,1.8
A4785132609,2.2
A4817235069,1.6
X8703695214,1.6
C7826195340,1.1
F1487629350,2.9
D2891046537,1.4
K2016738549,2.8
O1956408723,1.9
X5039741268,1.5
Q6254780391,2.2
Y3567128409,1.5
E6403875219,2.2
X5638791420,2.8
E5306271849,2.1
W0681734952,2.9
D0798625431,2.5
M6834921705,1.6
B4106579382,2.3
J3647851209,2.1
Y0412963857,2.9
U8734956120,2.1
R6587439102,1.2
F4127063985,1.4
V9743561802,1.5
U5169203874,1.5
S6857312409,2.0
O7835629401,1.2
Y3518796042,2.2
G0714896352,2.4
G3259146078,2.0
P2491657803,2.3
S6798425130,2.9
G0728391645,1.8
B7561348920,2.2
P8209316574,2.0
N2530819746,1.2
R5384217609,2.1
R9861270534,2.7
B4201653879,1.7
V1675209348,1.4
W1076925384,2.6
G2984635071,2.7
R2389754610,2.8
K4631825097,1.4
