product_code,standard_size
Y7094826153,1.1
O0574812936,2.5
E3740985621,2.7
T6374521890,1.9
Y4120835967,1.4
J5209847136,2.1
Q4527631809,2.1
L2790614538,1.8
W8497125036,1.6
G1835467902,2.6
O7394028561,2.8
H2913607485,2.3
L7942830615,2.7
M8934176052,1.1
K7612895403,1.1
D3576142809,1.9
E8401573926,2.4
U2693104857,1.0
L2697085143,1.9
J7034961258,2.7
I5239417806,1.9
P9782065413,1.8
L7834025196,1.7
H6937415208,2.6
I1032547968,2.5
U3496817520,2.0
G9475263801,1.6
O0746239158,1.3
S9102364875,1.9
B6102748935,1.6
W7325469180,1.7
G4730158962,2.0
M0983714625,2.7
J1980765432,1.3
T1037654298,1.7
