product_code,standard_size
R8125740396,2.9
U0761398425,1.7
E2190538764,1.2
A1286470539,1.6
Q2976485013,1.1
A8659327041,1.3
V5076914382,1.8
J1498263705,1.3
V3597482016,2.7
O6429785031,2.0
M4172089356,1.0
D6872341095,2.0
L8076234951,2.1
F1647038952,2.1
R5104796823,2.0
S6073491582,2.9
J4068732159,1.3
R6759230184,1.2
K8453617209,2.1
R4679302518,1.2
L3074825691,2.0
E6892750134,1.4
Z4628073951,2.1
N6152938047,2.2
A4596071328,2.8
U9158406372,2.6
R6021937584,2.7
U7259368041,2.5
M4903168752,1.6
M8567302941,1.9
N8014326957,2.0
N2798306514,2.5
E9382061574,1.1
R3802951674,1.8
C7540126938,2.9
T9843762501,1.9
K4726598130,2.1
L5072314986,2.4
U9461358702,2.6
X6739802541,2.3
B4317259680,2.8
N3041786952,2.8
L1076394285,2.5
Q7260341985,1.8
U5694103782,2.2
V5021384697,2.3
I2304917658,1.4
W9085467123,2.3
I9326840571,1.5
N6207854319,1.4
Z8296053417,2.1
Z1870946253,1.1
R1754396208,2.8
I4817926305,2.0
C1520849637,2.1
J8439621705,2.5
S1203497568,1.2
K7156493208,1.2
B8130576429,1.1
G6923047518,1.5
E2659483071,2.0
U3691024578,1.2
E5289401763,2.1
J2835074169,2.5
F0752894631,2.7
T6570394218,1.5
Y0827316945,1.9
A1476352980,1.5
E0965734812,2.1
G6123075489,2.5
U1739608452,3.0
I5703891624,2.0
B0719546832,1.5
B0396721584,1.9
W1437962058,2.6
Y1928074635,1.8
T4193052876,2.8
I6820154937,1.7
N4631287950,1.5
J9345107628,2.6
W3591768204,2.3
O1273648509,2.8
L0439165827,2.3
J7630582194,1.2
O1630524879,2.0
G6812475390,1.7
L8073912456,2.6
J5824917603,1.1
D0689321457,1.3
J1824650379,2.5
W6035789241,2.7
T1830295467,1.7
R1539826074,2.0
R3071498562,1.2
N0679381425,1.3
I7581426093,1.8
A7851264903,1.8
P8164729350,2.5
