day,plant_code,client_code,product_code,vehicle_id,vehicle_type,qty,standard_size,carry_standard_size,min_standard_size,occupied_size
1,3761,J0214637,E8679021543,1,10.1,88.0,1.5,132,86,132.0
3,5197,T1657904,O8934761052,2,10.1,46.0,2.7,132,86,124.2
3,5197,K1297583,X8270543196,3,10.1,48.0,2.7,132,86,129.60000000000002
3,5197,T1657904,X8270543196,4,10.1,48.0,2.7,132,86,129.60000000000002
3,5197,I9637541,Y9730168524,5,10.1,9.0,1.3,132,86,11.700000000000001
3,3761,F3180597,E8679021543,6,10.1,5.0,1.5,132,86,7.5
2,5197,J0214637,E4618520379,7,10.1,59.0,2.2,132,86,129.8
3,3761,T1657904,P7309821645,8,9.0,69.0,1.2,97,65,82.8
3,5197,T1657904,O8934761052,9,10.1,48.0,2.7,132,86,129.60000000000002
2,3761,K1297583,B8791462503,10,10.1,69.0,1.9,132,86,131.1
1,5197,K1297583,M1592470368,11,10.1,36.0,1.3,132,86,46.800000000000004
1,5197,I9637541,G1864237059,12,9.0,56.0,1.6,97,65,89.60000000000001
3,3761,O4063529,B8791462503,13,9.0,36.0,1.9,97,65,68.39999999999999
1,5197,K7145862,X8270543196,14,10.1,48.0,2.7,132,86,129.60000000000002
1,5197,K1297583,H2734158690,15,10.1,53.0,2.2,132,86,116.60000000000001
3,5197,I9637541,O8934761052,16,10.1,48.0,2.7,132,86,129.60000000000002
3,5197,O4063529,A2698701453,17,10.1,59.0,2.2,132,86,129.8
2,5197,O4063529,M1592470368,18,9.0,43.0,1.3,97,65,55.9
1,3761,F3180597,B8791462503,19,10.1,69.0,1.9,132,86,131.1
3,5197,F3180597,G1864237059,20,10.1,37.0,1.6,132,86,59.2
2,5197,O4063529,A2698701453,21,9.0,34.0,2.2,97,65,74.80000000000001
3,3761,F3180597,E8679021543,22,10.1,88.0,1.5,132,86,132.0
3,5197,K1297583,Y9730168524,23,9.0,66.0,1.3,97,65,85.8
3,5197,K7145862,O8934761052,24,10.1,48.0,2.7,132,86,129.60000000000002
3,5197,K7145862,O8934761052,25,10.1,48.0,2.7,132,86,129.60000000000002
3,5197,O4063529,G1864237059,26,10.1,82.0,1.6,132,86,131.20000000000002
3,5197,J0214637,A2698701453,27,10.1,59.0,2.2,132,86,129.8
3,5197,K1297583,H2734158690,28,10.1,59.0,2.2,132,86,129.8
3,5197,F3180597,X8270543196,29,10.1,48.0,2.7,132,86,129.60000000000002
3,5197,I9637541,A2698701453,30,10.1,52.0,2.2,132,86,114.4
3,5197,I9637541,O8934761052,31,10.1,48.0,2.7,132,86,129.60000000000002
3,5197,K1297583,E0614587923,32,9.0,33.0,1.0,97,65,33.0
3,3761,K1297583,P7309821645,33,10.1,92.0,1.2,132,86,110.39999999999999
3,3761,K7145862,E8679021543,34,10.1,88.0,1.5,132,86,132.0
