product_code,standard_size
J4263075189,2.6
H2473956018,2.6
J6974320518,1.2
U1328567490,1.5
H2473196058,2.7
O2467513809,1.8
F6192784503,2.3
L2834516970,1.9
N0671543829,1.1
W0742385916,2.3
T6045231789,2.2
D3280176954,2.8
X2407169583,1.8
D5874236910,1.1
M0361728954,2.3
Z6308729514,2.6
Z7598416203,1.5
U8750426193,1.1
Q6549027318,1.9
Y5213487096,1.1
Z3759648102,2.8
L6294103785,2.5
M6083795124,1.2
Y6857192403,1.3
K2678531904,2.9
L2851064379,2.2
N2389046715,1.1
V9864152703,2.9
T6934170852,2.8
X8536791024,1.9
X9278054631,2.5
P3867015942,2.8
R2908157346,2.2
O7089631542,2.9
X1820479653,2.3
O2716038954,1.3
Y7649201385,2.0
H4803276591,1.1
F7153092648,2.7
G7164895230,2.9
