plant_code,product_code,volume
2665,K3758621049,131
2665,I1937205684,30
2665,P9312840765,80
2665,I1820457639,108
2665,K5283479160,78
2665,I2371840695,78
2665,V1836509247,96
2665,I7104528963,60
2665,I2065978134,49
2665,F1270896345,78
2665,W3409785261,103
2665,V5613809724,90
2665,D0826149735,45
2665,A1345287096,106
2665,Q6201489375,67
2665,S3926417580,90
2665,R2467089513,88
2665,L2938760451,54
2665,D7548601239,49
2665,S3489765102,69
2665,V0196347285,58
2665,X8743195260,118
2665,S1648257309,86
2665,K2073194586,52
2665,Q7231048956,87
2665,H6857941023,66
2665,D4720518963,59
2665,P4705683129,62
2665,H7619085243,79
2665,C3456201978,93
2665,Q8124763590,39
2665,R2158369470,47
2665,T2670584391,81
2665,P1635748092,62
2665,Q4013285967,82
2665,G9876512403,101
2665,H3529748106,52
2665,M4183290756,81
2665,P5643789012,70
2665,T0639278451,88
2665,Z1340589762,97
2665,E9165870234,49
2665,C6319785042,58
2665,X9615074328,55
2665,Y4372086195,77
2665,T7254391680,70
2665,J9754083126,99
2665,B7953148602,46
2665,F5084273619,67
2665,V4387501692,131
2665,K1480693257,101
2665,A7813025649,111
2665,N0569731842,66
2665,A4512936078,82
2665,T1086523974,50
2097,K3758621049,93
2097,I1937205684,64
2097,P9312840765,108
2097,I1820457639,82
2097,K5283479160,76
2097,I2371840695,84
2097,V1836509247,124
2097,I7104528963,110
2097,I2065978134,75
2097,F1270896345,51
2097,W3409785261,77
2097,V5613809724,126
2097,D0826149735,59
2097,A1345287096,112
2097,Q6201489375,96
2097,S3926417580,83
2097,R2467089513,71
2097,L2938760451,59
2097,D7548601239,114
2097,S3489765102,101
2097,V0196347285,85
2097,X8743195260,128
2097,S1648257309,47
2097,K2073194586,48
2097,Q7231048956,101
2097,H6857941023,40
2097,D4720518963,96
2097,P4705683129,61
2097,H7619085243,54
2097,C3456201978,71
2097,Q8124763590,83
2097,R2158369470,79
2097,T2670584391,82
2097,P1635748092,90
2097,Q4013285967,95
2097,G9876512403,43
2097,H3529748106,39
2097,M4183290756,76
2097,P5643789012,114
2097,T0639278451,49
2097,Z1340589762,77
2097,E9165870234,82
2097,C6319785042,117
2097,X9615074328,44
2097,Y4372086195,82
2097,T7254391680,76
2097,J9754083126,52
2097,B7953148602,113
2097,F5084273619,83
2097,V4387501692,47
2097,K1480693257,84
2097,A7813025649,44
2097,N0569731842,68
2097,A4512936078,135
2097,T1086523974,108
8925,K3758621049,79
8925,I1937205684,41
8925,P9312840765,37
8925,I1820457639,83
8925,K5283479160,71
8925,I2371840695,55
8925,V1836509247,85
8925,I7104528963,96
8925,I2065978134,51
8925,F1270896345,57
8925,W3409785261,101
8925,V5613809724,88
8925,D0826149735,117
8925,A1345287096,91
8925,Q6201489375,103
8925,S3926417580,117
8925,R2467089513,58
8925,L2938760451,88
8925,D7548601239,84
8925,S3489765102,101
8925,V0196347285,36
8925,X8743195260,106
8925,S1648257309,64
8925,K2073194586,119
8925,Q7231048956,71
8925,H6857941023,49
8925,D4720518963,75
8925,P4705683129,65
8925,H7619085243,90
8925,C3456201978,117
8925,Q8124763590,87
8925,R2158369470,51
8925,T2670584391,65
8925,P1635748092,77
8925,Q4013285967,64
8925,G9876512403,45
8925,H3529748106,46
8925,M4183290756,46
8925,P5643789012,75
8925,T0639278451,104
8925,Z1340589762,111
8925,E9165870234,112
8925,C6319785042,74
8925,X9615074328,46
8925,Y4372086195,60
8925,T7254391680,34
8925,J9754083126,138
8925,B7953148602,64
8925,F5084273619,37
8925,V4387501692,93
8925,K1480693257,72
8925,A7813025649,112
8925,N0569731842,109
8925,A4512936078,104
8925,T1086523974,75
3107,K3758621049,133
3107,I1937205684,35
3107,P9312840765,96
3107,I1820457639,64
3107,K5283479160,76
3107,I2371840695,50
3107,V1836509247,62
3107,I7104528963,53
3107,I2065978134,80
3107,F1270896345,70
3107,W3409785261,64
3107,V5613809724,52
3107,D0826149735,126
3107,A1345287096,45
3107,Q6201489375,89
3107,S3926417580,83
3107,R2467089513,113
3107,L2938760451,61
3107,D7548601239,59
3107,S3489765102,41
3107,V0196347285,60
3107,X8743195260,59
3107,S1648257309,131
3107,K2073194586,126
3107,Q7231048956,70
3107,H6857941023,58
3107,D4720518963,44
3107,P4705683129,80
3107,H7619085243,107
3107,C3456201978,46
3107,Q8124763590,40
3107,R2158369470,78
3107,T2670584391,74
3107,P1635748092,72
3107,Q4013285967,98
3107,G9876512403,45
3107,H3529748106,39
3107,M4183290756,99
3107,P5643789012,58
3107,T0639278451,96
3107,Z1340589762,60
3107,E9165870234,98
3107,C6319785042,117
3107,X9615074328,76
3107,Y4372086195,69
3107,T7254391680,78
3107,J9754083126,131
3107,B7953148602,54
3107,F5084273619,89
3107,V4387501692,51
3107,K1480693257,78
3107,A7813025649,89
3107,N0569731842,106
3107,A4512936078,95
3107,T1086523974,93
