product_code,standard_size
K3758621049,1.2
I1937205684,2.5
P9312840765,2.1
I1820457639,2.5
K5283479160,1.4
I2371840695,1.2
V1836509247,2.1
I7104528963,2.1
I2065978134,2.8
F1270896345,2.1
W3409785261,2.8
V5613809724,1.8
D0826149735,1.5
A1345287096,1.2
Q6201489375,2.4
S3926417580,1.7
R2467089513,1.7
L2938760451,1.9
D7548601239,2.9
S3489765102,1.8
V0196347285,1.1
X8743195260,2.6
S1648257309,2.9
K2073194586,1.3
Q7231048956,1.3
H6857941023,2.9
D4720518963,1.1
P4705683129,2.0
H7619085243,1.8
C3456201978,2.9
Q8124763590,2.2
R2158369470,1.2
T2670584391,1.7
P1635748092,1.9
Q4013285967,2.6
G9876512403,1.8
H3529748106,1.1
M4183290756,1.8
P5643789012,2.2
T0639278451,2.7
Z1340589762,2.2
E9165870234,1.6
C6319785042,1.3
X9615074328,2.2
Y4372086195,3.0
T7254391680,1.6
J9754083126,2.0
B7953148602,1.6
F5084273619,1.2
V4387501692,2.1
K1480693257,2.9
A7813025649,1.0
N0569731842,2.2
A4512936078,1.3
T1086523974,2.9
