product_code,standard_size
T4307698251,2.8
K4013692785,2.4
H0867912453,1.1
X0938265471,1.9
O1984370265,1.9
L3257061498,2.0
U6573092841,1.6
T8049132576,1.9
M2894167053,2.2
V6748931025,1.0
M6723890541,1.7
W9013674258,2.6
D3471256089,2.3
B0176983452,2.6
Y1384702956,1.5
Y8573601942,1.1
S3579620814,1.9
Z1475602893,2.5
G7605328194,2.3
W3749806521,1.9
N0124593786,2.9
J8754021369,1.7
Q3012564798,2.3
R6149078523,1.2
B9873265140,1.1
C8751960342,2.9
Z1267538904,2.5
P6108375492,1.4
B3268910574,1.2
X9524081736,2.2
H5024936871,1.1
X3281794560,1.2
N0593874612,2.5
V3847196502,1.1
W4276913508,1.8
A3915402876,1.5
H9278631405,1.7
F6821970534,2.6
W0426897513,2.1
U7932860451,2.4
B4708956132,1.4
U4065329187,2.1
D4312897506,2.7
