plant_code,product_code,volume
8022,Q0718934256,12
8022,O3709526481,40
8022,H7263581409,29
8022,W9765103824,33
8022,P6705384219,18
8022,A4319726805,47
8022,Z6093518247,15
8022,A0762854139,21
8022,P2615438097,10
8022,S4390521678,33
8022,N1352846079,15
8022,D6087412935,16
8022,K8197623504,26
8022,M3086912475,19
8022,R6208315974,20
8022,X1604785329,26
8022,B7654180392,14
8022,W1078462395,17
8022,L3458201976,16
8022,W5793210864,19
8022,X6513294078,17
8022,G2596073841,20
8022,V9450283761,11
8022,R1789206543,24
8022,N2135946087,12
8022,Q1403789625,8
8022,C2643851097,9
8022,S7165934820,35
8022,Q0297315684,25
8022,V5376408291,27
8022,P1936740285,28
1488,Q0718934256,20
1488,O3709526481,38
1488,H7263581409,35
1488,W9765103824,37
1488,P6705384219,21
1488,A4319726805,49
1488,Z6093518247,28
1488,A0762854139,30
1488,P2615438097,13
1488,S4390521678,15
1488,N1352846079,25
1488,D6087412935,34
1488,K8197623504,24
1488,M3086912475,21
1488,R6208315974,37
1488,X1604785329,17
1488,B7654180392,23
1488,W1078462395,15
1488,L3458201976,25
1488,W5793210864,24
1488,X6513294078,16
1488,G2596073841,18
1488,V9450283761,9
1488,R1789206543,20
1488,N2135946087,12
1488,Q1403789625,23
1488,C2643851097,13
1488,S7165934820,15
1488,Q0297315684,29
1488,V5376408291,25
1488,P1936740285,38
5622,Q0718934256,10
5622,O3709526481,28
5622,H7263581409,28
5622,W9765103824,28
5622,P6705384219,29
5622,A4319726805,31
5622,Z6093518247,31
5622,A0762854139,34
5622,P2615438097,22
5622,S4390521678,30
5622,N1352846079,22
5622,D6087412935,13
5622,K8197623504,43
5622,M3086912475,13
5622,R6208315974,29
5622,X1604785329,17
5622,B7654180392,27
5622,W1078462395,28
5622,L3458201976,35
5622,W5793210864,14
5622,X6513294078,13
5622,G2596073841,12
5622,V9450283761,13
5622,R1789206543,17
5622,N2135946087,10
5622,Q1403789625,18
5622,C2643851097,5
5622,S7165934820,21
5622,Q0297315684,50
5622,V5376408291,13
5622,P1936740285,16
