product_code,standard_size
Q0718934256,2.0
O3709526481,1.2
H7263581409,1.8
W9765103824,2.6
P6705384219,1.5
A4319726805,2.2
Z6093518247,1.9
A0762854139,2.5
P2615438097,1.9
S4390521678,2.6
N1352846079,2.6
D6087412935,1.5
K8197623504,2.6
M3086912475,2.6
R6208315974,1.6
X1604785329,2.4
B7654180392,2.4
W1078462395,2.5
L3458201976,1.5
W5793210864,1.6
X6513294078,2.6
G2596073841,2.9
V9450283761,1.1
R1789206543,2.5
N2135946087,2.4
Q1403789625,2.4
C2643851097,2.4
S7165934820,2.2
Q0297315684,1.2
V5376408291,2.4
P1936740285,2.2
