product_code,standard_size
R9436178052,1.7
N2851607349,2.9
O0436258917,2.5
T0137645298,2.6
W5042739681,2.8
O4128360579,1.6
C9681704235,2.8
C5846732019,1.4
N9372046815,2.3
I8260147593,1.4
T0349871625,1.1
H7963521480,1.2
W9865107243,2.4
Z0195736842,2.3
T6824391057,2.6
A3921587640,1.4
F6713895042,1.8
C6459381027,2.7
S8564370291,1.4
W7258103964,1.5
B5481263709,1.9
E8725364091,2.8
R7891536240,2.7
Q5931827640,2.9
Z9578603412,1.2
P1793256480,1.4
M6927540318,2.1
G3982015647,1.3
N2743159806,1.7
N3612579840,1.3
N8419520673,2.7
X7514690832,2.4
Z7458160293,1.7
J6841937205,2.4
K5216374809,1.5
T5186294370,2.6
P7602841539,2.9
T1307956824,2.7
H2950387416,2.0
Y5374180926,2.0
O1547908263,3.0
E2794031586,2.7
E9276841053,1.5
F2468037195,2.6
H6743258910,2.5
W1069238457,2.8
Q7816540293,2.4
Q6873450912,1.1
E7405132689,2.4
