product_code,standard_size
N0437861925,1.6
C5243196870,2.1
M0534968172,1.9
Q7042196835,1.8
U0516382749,2.6
K6820971345,1.9
G3798412605,2.2
B0815493726,1.0
R9143567820,1.6
B6184092735,2.3
A4392851706,2.5
K9653807412,2.3
H5964108732,1.6
T8217340596,1.5
Z1795824360,1.0
F9375802461,1.6
H7354621089,2.9
T5328704916,2.7
E6987015423,1.0
I1945063782,2.1
C8124906573,1.8
Y8063149257,2.2
Z9340285617,1.4
B4025978613,1.2
S1270649835,2.2
X4097386215,1.9
B3018572946,2.2
U7369812540,2.3
R4032859167,2.4
W9087563241,2.7
O7950316482,2.4
O6253140798,1.5
W5342690871,2.6
O6537029184,1.6
G4713526098,2.7
Z3687915402,1.2
I1032549687,2.4
Y5472186903,2.4
Y6719452308,1.2
R0163284957,1.1
T0135748962,1.0
T1548693072,2.4
T5704326918,1.3
S6543012897,1.8
W5426983017,2.5
J0154326798,1.1
S7893516420,2.6
I3567048291,2.2
Y5780413926,1.7
D9046375812,2.7
E0175943628,2.1
W5391670482,2.6
Q1093786524,2.3
I9502378461,2.4
N0951427638,2.8
T5841673029,2.5
P9265431087,1.4
T4231089576,2.2
I6149852037,1.5
K5086437129,2.6
