product_code,standard_size
D2734168950,1.7
G7821349605,1.0
O4958163027,2.2
T1728630954,1.9
H2084971635,1.4
Q7839205461,2.8
V6837129450,2.0
Z6390487521,2.7
U4736982150,2.1
D0693875124,2.3
T3609754821,1.9
U2685073419,2.1
K9703564182,1.3
G1402385967,1.8
P1826347590,1.1
S8149265703,2.9
P7912364508,2.7
C3768495012,2.3
W2410679853,2.2
E7856034129,2.2
E5213980647,2.1
N8763594102,2.7
L7169248530,2.2
B1438792065,1.5
D2143675089,2.6
P0167543982,1.5
K8649735012,2.4
X3245718096,1.3
G0758614392,1.9
F7861943520,2.6
D1379056482,1.1
X1458036279,3.0
X8027396145,1.6
Y4650318972,2.9
P2894536071,2.6
H3278065419,2.1
C6854029371,1.9
H6257480931,1.9
N8653014972,1.3
D3249168057,2.0
C7580916342,1.5
B1349570862,2.3
J6231480795,2.3
I8369475201,2.0
S6943078521,2.8
K3972804615,2.1
A5048369712,1.0
A4857921630,2.0
X5417096823,1.6
U4381569027,1.7
I3156284970,1.4
X2719408653,2.1
L8327954106,1.9
R7180936254,2.5
M0183647295,1.6
D2947851603,1.2
D6943810527,3.0
H1785602934,3.0
G8753926140,3.0
E8324907165,1.4
H8672941350,2.9
L6345218097,2.3
J3972140856,1.7
T7950648213,1.7
M2485039761,1.3
R4736258019,1.6
Z4957126803,2.6
J7058934261,1.8
N6137504892,2.6
S8419065372,1.5
K7501648392,1.4
L6518970432,1.4
J1847523960,1.9
B4072168359,1.5
Z1726908354,2.6
Q7368905124,1.1
O1958072346,1.3
V0723968154,2.3
U5489307126,2.5
I3794860251,2.3
R1079253468,1.4
G1538620947,1.9
V3764520981,2.5
H7206415983,2.3
Q9085624137,1.8
S5476230918,1.9
C3746025198,2.9
R0235174698,2.6
G3107584962,2.3
G5360984127,2.9
I3415260897,1.1
Y8234916750,2.4
S4976513280,1.7
X3842765910,2.7
P0279385641,1.1
W3470126859,2.8
J5321087946,1.8
H1026758349,1.3
