product_code,standard_size
K2180475369,2.3
K0347216859,1.6
Z9850764123,1.6
C8739025461,1.5
V5934016287,1.7
C9307241865,2.3
A2417586930,1.1
N2463571098,1.5
Z2591704368,1.8
Z2186940735,1.9
Q9502763418,2.3
X9471826530,2.2
T1025764938,2.0
H5471806293,1.4
E6351240798,2.4
G9076143528,1.1
Z5934712860,2.6
C8952017436,2.2
S2734098156,2.9
E3120495687,1.3
C1095786342,2.0
G6213458790,1.0
M9670381452,2.7
R4952671308,1.6
F1952873046,2.5
O8902136475,1.9
V7098536124,1.4
K9518367240,2.4
W8074326951,2.4
E4032987615,1.9
K5169087234,1.1
K3682504791,1.7
H1379258460,1.5
Y5327410689,1.3
G0432856791,1.8
A0253798146,2.4
E5203469781,1.4
U3052174986,1.5
X6150894723,1.1
L0695218473,2.8
B7234968015,1.7
X0163754289,2.1
B6387401925,2.1
P9632714805,2.8
G0153978264,2.1
S4765019382,2.5
G5028713469,1.9
Y2783590416,1.0
K7498120356,2.1
Z8610392457,1.8
Y0369172845,1.8
O6259183470,2.4
F8239754061,2.1
A6984027153,2.6
A2567013489,1.9
U3087624951,2.7
N1456809327,2.3
Y3490852617,1.1
N5398614072,2.0
X2078649135,2.1
F4793086512,2.7
G0589362471,1.2
P4873695120,2.3
P5940127368,1.7
G4981623507,1.4
U5037426819,2.0
X4867923150,2.1
B6527184309,2.0
M1806574392,1.2
P5270938164,2.3
X7591628304,2.6
