product_code,standard_size
P8234106597,1.8
H9746513028,1.7
I9406853127,2.4
H9817320564,1.7
N2967508341,2.7
H6124098735,1.1
M5237109648,2.6
W3926874015,2.8
K9840123657,2.5
H7916348052,2.2
K0759248361,1.1
N0538294617,2.6
P2870594631,1.9
H9726408513,2.9
A2794508613,2.1
U9653817420,1.9
F1360849527,1.2
K8693520714,1.6
M2674013598,2.3
E7621543089,3.0
L1085729436,2.1
Z4851390672,2.2
H4175039826,2.2
I5834091672,1.3
R9831405672,1.7
C7093518264,1.6
Y0427916583,1.8
U8209763145,2.9
I4679185023,2.3
T8034267159,2.9
K8351972046,2.8
N2970546183,1.6
E8136974502,2.6
B2953870146,1.5
X3520917486,1.3
A7934258160,2.7
K0289461375,1.8
T4172830695,2.6
H5021687943,2.5
B1706524389,2.7
B5106748329,2.0
E7509462813,2.5
H4567210893,2.0
