product_code,standard_size
G1826039457,2.7
I4056321987,2.9
H8463291507,1.2
B1532679408,2.2
B1482039756,2.7
C5487293610,2.9
W6258743190,2.7
A2934756108,1.9
A6729810435,2.4
A5608172943,2.7
D7469851230,2.6
M7502186943,2.1
J4870539612,1.6
O5384970261,1.7
F2934516708,1.5
P2648735910,2.9
T7186203549,2.9
F9321465870,1.6
F0891254736,1.6
P7150439628,1.3
O9547382106,2.7
L7654932081,2.9
R1840976253,1.7
W3197865420,1.6
O7458136290,2.1
B3081457269,2.4
M6072851943,2.6
L6930847215,2.0
C4617895032,1.2
T3781904562,1.7
L1327540968,1.0
S6204871935,1.2
J2759368140,2.8
A0975143628,2.5
C1675293804,2.8
B8713602954,1.9
T2719580436,1.3
Q7132468059,2.9
E7463058291,1.4
Q6124397058,2.5
E6705938214,1.1
G5836971240,1.3
X7320598146,2.2
U9715824603,3.0
N9163485072,2.2
K7325910486,1.6
F8345209617,2.6
E7324086591,1.4
L6948510327,2.5
F0869741523,1.5
J8261403795,1.4
U0942651837,1.5
C5306712984,1.8
Q5097836241,1.2
S7934152608,1.7
J4013295867,2.8
W3981527460,1.5
D8059274631,1.2
M5370864921,2.5
V6149752083,2.0
S6847210953,2.9
V4196308527,1.7
H2763850941,1.7
N5349821076,1.3
S1847029635,2.3
X3851476209,2.1
F3750821649,2.7
W4328076519,1.5
I6429581370,1.4
O9341607852,1.9
C0835149672,2.0
T0863475129,2.6
Y1709584362,1.6
S0734256189,2.2
W7465809123,2.7
W1930245768,2.1
I3069487521,2.1
O3658941702,2.8
T1039547862,1.1
Q9653180472,2.2
F4128753096,2.6
