product_code,standard_size
C7194602538,2.2
L1503824976,2.8
U8035426791,2.0
C7826349105,1.7
Q2071486935,2.9
K8073624591,2.2
K5346807129,1.6
O7684930521,1.0
F1360879452,1.1
X3906751842,2.2
T5124087963,1.8
S5234097186,2.2
Z3485790216,2.8
H7164982035,2.6
A3290871546,2.2
G4120893765,1.5
F0918742653,1.8
X7248095136,2.6
Q3269071485,2.7
F5628937140,1.7
N7524068931,2.5
G0325481769,2.8
G2863491750,1.9
A1765382940,3.0
H1439728065,1.5
H5723861490,1.5
S8356027149,1.8
N9128356470,2.1
U7468051923,2.3
F6425309178,2.2
M9164803572,1.1
N8027195364,2.1
X0918236754,1.6
S6487529301,2.8
V2489703651,2.4
Y7026451983,1.2
R1458763209,2.8
P7859634210,2.6
H6847120359,2.3
V7463890251,2.2
X3406271985,2.4
G0615489327,1.6
Y8149573206,2.4
O9673850241,1.8
Z8329517460,1.4
A4302967815,2.6
C7928163405,2.2
A7532496108,1.1
Q0328146957,2.4
C3879614520,1.8
H9318702564,1.8
E4935267801,1.9
G2798135460,2.9
F3275861904,2.0
I8362105974,1.3
V1794623580,2.6
I9750862341,1.7
D0795683214,2.8
A9514807326,2.0
H5924860317,1.7
C7093468521,1.4
F5429017836,1.9
G8629437015,1.2
K3204581679,2.7
X6194235708,2.0
Q9324065781,2.3
R0967381452,1.1
X9645812703,1.4
G9234816507,2.8
J6073498251,1.1
B3047658912,1.6
V2745390186,2.3
M0139654278,2.0
Y6491857230,2.4
E7860254139,2.4
X0519342687,1.3
B3590164782,1.0
K2586493017,2.9
F7251346098,2.3
W3619420857,1.5
L2187536940,1.6
S2361908745,1.1
C1853076294,2.2
M8354702961,2.6
N0632714859,1.1
S3280951674,1.4
D7895463201,2.9
Q3425796018,2.5
P0149273865,1.6
G6890174352,2.7
X8527063941,1.1
