day,plant_code,client_code,product_code,vehicle_id,vehicle_type,qty,standard_size,carry_standard_size,min_standard_size,occupied_size
1,2058,C8906421,K5160398742,1,11.1,30.0,2.5,97,65,75.0
3,2058,E0893745,S8426970315,2,13.3,104.0,1.4,147,78,145.6
3,2058,J6438715,M5419786032,3,11.1,63.0,1.2,97,65,75.6
3,2058,J6438715,K5160398742,4,16.1,74.0,2.5,185,132,185.0
3,2058,P2934618,K5160398742,5,16.1,74.0,2.5,185,132,185.0
3,8662,B4920618,C8602194735,6,11.1,38.0,1.3,97,65,49.4
3,8662,J6438715,K8713204965,7,16.1,80.0,2.3,185,132,184.0
3,2058,C8906421,K5160398742,8,16.1,74.0,2.5,185,132,185.0
2,2058,B4920618,K5160398742,9,16.1,72.0,2.5,185,132,180.0
3,2058,J6438715,Y1367095824,10,13.3,55.0,2.0,147,78,110.0
3,2058,C8906421,Y1367095824,11,13.3,53.0,2.0,147,78,106.0
3,2058,J6438715,S8426970315,12,11.1,41.0,1.4,97,65,57.4
3,8662,B4920618,Z3206578194,13,16.1,63.0,2.9,185,132,182.7
3,8662,B4920618,C8602194735,14,11.1,74.0,1.3,97,65,96.2
3,8662,C8906421,W4709652138,15,13.3,73.0,1.7,147,78,124.1
3,8662,C8906421,Z3206578194,16,16.1,61.0,2.9,185,132,176.9
2,8662,J6438715,Z3206578194,17,16.1,55.0,2.9,185,132,159.5
2,8662,E0893745,K8713204965,18,13.3,54.0,2.3,147,78,124.19999999999999
2,2058,E0893745,X6948352107,19,16.1,71.0,2.6,185,132,184.6
2,2058,E0893745,X6948352107,20,16.1,10.0,2.6,185,132,26.0
2,2058,E0893745,Y1367095824,20,16.1,79.0,2.0,185,132,158.0
2,2058,C8906421,S8426970315,21,11.1,57.0,1.4,97,65,79.8
3,2058,B4920618,S8426970315,22,11.1,37.0,1.4,97,65,51.8
2,8662,B4920618,Z3206578194,23,13.3,37.0,2.9,147,78,107.3
3,8662,J6438715,U5189026347,24,11.1,34.0,1.9,97,65,64.6
2,8662,J6438715,K8713204965,25,11.1,23.0,2.3,97,65,52.9
2,2058,P2934618,K5160398742,26,11.1,19.0,2.5,97,65,47.5
2,8662,C8906421,W4709652138,27,11.1,16.0,1.7,97,65,27.2
2,2058,J6438715,K5160398742,28,11.1,14.0,2.5,97,65,35.0
2,2058,E0893745,Y1367095824,29,11.1,12.0,2.0,97,65,24.0
2,2058,C8906421,Y1367095824,30,11.1,8.0,2.0,97,65,16.0
