product_code,standard_size
V0237156984,1.6
V1925304876,2.0
C0678193254,2.4
L1083927465,1.7
N6217938054,1.4
M8169523740,2.3
Q6917032458,2.8
E7689301452,2.3
A2498507631,2.3
P2816730954,2.5
S8063419572,3.0
I4720168953,2.4
E6307148592,1.2
F4652780193,1.1
E1390684275,1.5
J5163478902,2.3
V9150378642,2.6
P7180425936,2.3
K5801973462,1.8
R5762319480,1.7
B5281679043,1.8
J3745180692,1.8
O7104632958,2.8
Y5168749203,1.5
Q2453198670,1.9
G7624859301,2.5
K4970815326,2.0
O0691784523,1.3
U2453179608,1.1
B8642915037,1.2
E1367925480,2.7
K0482193756,2.3
A1239560784,2.8
C9248061357,2.2
O5487612093,2.3
F7263190458,2.4
N1682093547,1.9
T2048539761,2.3
T0548239617,2.1
T0673245981,1.2
P6312958704,2.3
H6482953170,2.0
K0465137289,1.7
W2187654039,2.7
N4029765813,2.0
V8347905216,2.3
O6940713852,2.9
M5781342960,1.6
