product_code,standard_size
V5108736492,2.5
T3160895247,1.2
O0765198342,1.0
G9236071485,2.6
Z8561234970,1.1
Z3540921867,1.2
P2174603958,2.5
X0512874963,3.0
G8079246351,3.0
A4189230657,2.3
E7083129564,2.4
K5409873621,1.6
U1278534906,1.1
C6317428095,2.4
M7042968531,2.1
W3168490257,2.8
K4083965721,2.7
B2197835604,1.7
C4576132890,1.3
K9468350271,1.9
D4385107692,1.2
E6709352841,2.0
S5640987231,2.5
X8546032917,1.3
F4813957620,2.9
F9240786153,2.4
L3562974018,2.4
H5864312079,1.5
S1367025894,2.6
O3872914605,1.2
T1932084657,1.1
P5247839061,2.7
V0962318475,3.0
Z9476183520,1.2
U5921763408,1.1
F0713658924,2.2
Q9701684253,2.8
X9482013657,1.1
W2314785960,2.6
T9634521087,1.8
M6823745091,2.7
R6791052834,1.2
J5786041293,2.3
H8456201973,1.0
R9506243178,1.9
A8296017354,2.7
G2734689510,2.1
U4238176905,2.9
I9247581036,1.6
K9357126048,2.6
E5132496078,2.7
K8430965217,2.1
X5684739120,1.3
X4275309861,2.4
R4632057981,2.8
P4521879360,2.7
F4920138657,2.1
T8743165029,2.2
E3106297458,2.4
I4213078659,1.7
O9648102753,2.3
L4018632579,1.7
R4172098563,2.3
W8053197642,2.5
L3940825176,2.9
N8952043761,2.7
L4536179208,1.5
D8132540697,1.1
W3265087941,2.9
R8317954260,1.7
D7639214850,1.1
U3205684197,2.6
Q5391867204,1.3
C0278931546,1.5
O8632019547,2.8
S9380654172,1.4
X0359612874,2.8
N8691723405,2.0
Q0624178539,1.5
V1093678542,1.3
I5674329180,2.3
N0132795846,2.3
E3869452107,1.2
M6483951207,2.5
D3604891257,2.6
