product_code,standard_size
R8469257310,2.5
E9316750284,1.9
S6798105234,2.5
A4936721805,2.3
C6715043928,1.6
Q9530462781,2.1
F2684391570,2.4
Q5904761382,2.2
N4867053192,2.3
J6145807392,2.6
P9314628075,1.1
R8962137504,2.8
O2198703546,2.5
N4310586792,1.2
J0184762395,2.9
C4896503712,2.9
K5283976014,2.2
C9340871256,1.9
M1763908524,2.8
D5932687104,2.0
K2487130596,2.4
Z2786145309,2.7
K9615702483,2.6
V5037194628,1.9
J0713956842,1.5
W2346159780,2.6
I7954203618,1.4
B0694531782,1.1
K4579231068,1.3
L2081937456,2.3
H0762495183,1.5
W0435276819,2.9
I7913280546,1.5
A4537268910,2.5
M4205398176,2.9
U7142950386,1.8
U2695783410,2.7
O2384609715,1.4
J7619035428,2.4
N8610234975,1.4
N1876325904,1.4
R2495716308,1.5
S4796513208,2.9
N6781023594,1.6
X4916807523,1.1
D8534917620,2.2
T0927165438,1.3
