day,plant_code,client_code,product_code,vehicle_id,vehicle_type,qty,standard_size,carry_standard_size,min_standard_size,occupied_size
1,5476,J4970165,R2035614987,1,15.2,56.0,2.9,167,86,162.4
1,5476,Q5721930,L9426013875,2,15.2,32.0,3.0,167,86,96.0
3,5476,Q5721930,P4805293176,3,16.1,26.0,2.5,173,123,65.0
1,5476,J4970165,H3618279540,4,16.1,25.0,2.8,173,123,70.0
1,8993,I3485920,H6249817530,5,16.1,33.0,1.3,173,123,42.9
2,8993,I3485920,H6249817530,6,16.1,40.0,1.3,173,123,52.0
2,5476,I3485920,D4387905621,7,15.2,68.0,1.5,167,86,102.0
1,8993,I3485920,I8514392076,8,16.1,38.0,1.4,173,123,53.199999999999996
3,1616,Z8913462,W5648903712,9,15.2,39.0,2.9,167,86,113.1
2,5476,J4970165,P4235719068,10,16.1,86.0,2.0,173,123,172.0
3,5476,U2316840,L1397504862,11,15.2,65.0,2.2,167,86,143.0
3,5476,Q5721930,L9426013875,12,15.2,16.0,3.0,167,86,48.0
3,5476,Q5721930,I0427953816,13,16.1,28.0,1.9,173,123,53.199999999999996
3,5476,U2316840,P4805293176,14,15.2,43.0,2.5,167,86,107.5
2,5476,Q5721930,P4235719068,15,16.1,86.0,2.0,173,123,172.0
3,1616,I3485920,W5648903712,16,16.1,59.0,2.9,173,123,171.1
2,8993,I3485920,E6102374895,17,15.2,76.0,1.9,167,86,144.4
3,5476,J4970165,H9261845307,18,15.2,62.0,2.3,167,86,142.6
2,5476,I3485920,H9261845307,19,15.2,53.0,2.3,167,86,121.89999999999999
2,5476,J4970165,W0281534796,20,15.2,32.0,2.8,167,86,89.6
2,8993,I3485920,I8514392076,21,15.2,18.0,1.4,167,86,25.2
3,5476,J4970165,X4598032167,22,16.1,66.0,2.6,173,123,171.6
2,5476,Z8913462,I0427953816,23,15.2,50.0,1.9,167,86,95.0
1,5476,Z8913462,P4805293176,24,16.1,69.0,2.5,173,123,172.5
3,5476,U2316840,P4805293176,25,16.1,3.0,2.5,173,123,7.5
3,5476,Q5721930,H9261845307,26,16.1,75.0,2.3,173,123,172.5
3,5476,Q5721930,W0281534796,27,16.1,61.0,2.8,173,123,170.79999999999998
2,8993,Z8913462,Y0689752143,28,15.2,60.0,1.7,167,86,102.0
2,5476,Q5721930,X4598032167,29,15.2,59.0,2.6,167,86,153.4
3,8993,J4970165,Y0689752143,30,16.1,101.0,1.7,173,123,171.7
3,8993,I3485920,Y1564389702,31,16.1,101.0,1.7,173,123,171.7
3,8993,I3485920,Y1564389702,32,16.1,13.0,1.7,173,123,22.099999999999998
3,8993,J4970165,K7365198240,33,15.2,109.0,1.0,167,86,109.0
3,8993,J4970165,F0653124897,34,16.1,69.0,2.5,173,123,172.5
3,8993,I3485920,B2306987145,35,16.1,82.0,2.1,173,123,172.20000000000002
3,8993,J4970165,T0789614523,36,16.1,61.0,2.8,173,123,170.79999999999998
3,8993,J4970165,T0789614523,37,16.1,23.0,2.8,173,123,64.39999999999999
3,8993,I3485920,Q3814605792,38,15.2,83.0,1.3,167,86,107.9
3,8993,U2316840,Y1564389702,39,15.2,70.0,1.7,167,86,119.0
2,8993,J4970165,R2035614987,40,16.1,59.0,2.9,173,123,171.1
3,8993,J4970165,G5318092674,41,15.2,61.0,1.9,167,86,115.89999999999999
3,8993,Q5721930,G5318092674,42,15.2,55.0,1.9,167,86,104.5
2,8993,J4970165,E6102374895,43,15.2,47.0,1.9,167,86,89.3
3,8993,J4970165,R3184052967,44,15.2,42.0,2.7,167,86,113.4
2,8993,J4970165,O7480312965,45,15.2,42.0,2.1,167,86,88.2
3,8993,U2316840,H6249817530,46,15.2,34.0,1.3,167,86,44.2
2,5476,J4970165,P4805293176,47,15.2,52.0,2.5,167,86,130.0
2,8993,I3485920,T5012479683,48,15.2,85.0,1.5,167,86,127.5
3,5476,Q5721930,L9426013875,49,16.1,57.0,3.0,173,123,171.0
1,5476,Z8913462,P4235719068,50,15.2,56.0,2.0,167,86,112.0
3,8993,Z8913462,I0291576438,51,15.2,52.0,2.8,167,86,145.6
1,8993,Z8913462,L1397504862,52,15.2,40.0,2.2,167,86,88.0
2,8993,Z8913462,T0789614523,53,15.2,38.0,2.8,167,86,106.39999999999999
2,8993,Z8913462,G1049586732,54,15.2,32.0,2.7,167,86,86.4
2,5476,Z8913462,W0281534796,55,15.2,6.0,2.8,167,86,16.799999999999997
3,8993,Z8913462,L2073895614,56,16.1,64.0,2.7,173,123,172.8
3,8993,Z8913462,L2073895614,57,15.2,34.0,2.7,167,86,91.80000000000001
2,5476,I3485920,H3618279540,58,16.1,61.0,2.8,173,123,170.79999999999998
2,5476,I3485920,H3618279540,59,16.1,21.0,2.8,173,123,58.8
3,1616,Z8913462,L8697201354,60,15.2,52.0,1.1,167,86,57.2
2,1616,Q5721930,Y9374512860,61,15.2,69.0,2.2,167,86,151.8
2,1616,Q5721930,L8697201354,62,16.1,40.0,1.1,173,123,44.0
1,1616,Q5721930,E8304597621,63,16.1,75.0,2.3,173,123,172.5
3,8993,J4970165,I0291576438,64,16.1,61.0,2.8,173,123,170.79999999999998
3,8993,J4970165,N4259068137,65,15.2,81.0,1.4,167,86,113.39999999999999
3,5476,J4970165,H3618279540,66,15.2,57.0,2.8,167,86,159.6
1,8993,J4970165,G1049586732,67,16.1,17.0,2.7,173,123,45.900000000000006
3,8993,J4970165,Y0689752143,68,16.1,13.0,1.7,173,123,22.099999999999998
3,1616,Z8913462,E8304597621,69,16.1,75.0,2.3,173,123,172.5
3,1616,Z8913462,E8304597621,70,16.1,34.0,2.3,173,123,78.19999999999999
3,8993,I3485920,F8309126754,71,15.2,77.0,1.2,167,86,92.39999999999999
2,8993,Z8913462,Y1564389702,72,15.2,73.0,1.7,167,86,124.1
2,8993,I3485920,R3184052967,73,15.2,61.0,2.7,167,86,164.70000000000002
3,5476,U2316840,H3618279540,74,15.2,59.0,2.8,167,86,165.2
3,8993,Z8913462,F8309126754,75,15.2,57.0,1.2,167,86,68.39999999999999
2,8993,I3485920,L5478962301,76,15.2,38.0,1.6,167,86,60.800000000000004
3,8993,I3485920,B2306987145,77,15.2,14.0,2.1,167,86,29.400000000000002
1,8993,J4970165,Q3814605792,78,15.2,107.0,1.3,167,86,139.1
1,5476,I3485920,R3184052967,79,15.2,39.0,2.7,167,86,105.30000000000001
3,5476,I3485920,P4805293176,80,16.1,69.0,2.5,173,123,172.5
2,5476,J4970165,I0427953816,81,15.2,49.0,1.9,167,86,93.1
2,8993,I3485920,L2073895614,82,15.2,35.0,2.7,167,86,94.5
2,5476,J4970165,X4598032167,83,15.2,12.0,2.6,167,86,31.200000000000003
1,1616,Q5721930,W5648903712,84,16.1,59.0,2.9,173,123,171.1
1,1616,Q5721930,W5648903712,85,15.2,1.0,2.9,167,86,2.9
1,1616,Q5721930,E8304597621,86,16.1,19.0,2.3,173,123,43.699999999999996
1,5476,J4970165,V0798321654,87,15.2,96.0,1.5,167,86,144.0
1,5476,J4970165,W0281534796,88,16.1,61.0,2.8,173,123,170.79999999999998
2,8993,Q5721930,Y1564389702,89,16.1,101.0,1.7,173,123,171.7
3,8993,Q5721930,F0653124897,90,16.1,69.0,2.5,173,123,172.5
3,8993,Q5721930,F0653124897,91,15.2,47.0,2.5,167,86,117.5
2,8993,Q5721930,I8514392076,92,15.2,113.0,1.4,167,86,158.2
2,8993,Q5721930,L1397504862,93,16.1,78.0,2.2,173,123,171.60000000000002
2,8993,Q5721930,L1397504862,94,16.1,34.0,2.2,173,123,74.80000000000001
3,8993,Q5721930,L5478962301,95,15.2,99.0,1.6,167,86,158.4
2,8993,Q5721930,K7365198240,96,15.2,97.0,1.0,167,86,97.0
2,8993,Q5721930,N4259068137,97,15.2,88.0,1.4,167,86,123.19999999999999
3,8993,Q5721930,H6249817530,98,15.2,82.0,1.3,167,86,106.60000000000001
2,8993,Q5721930,T0789614523,99,16.1,61.0,2.8,173,123,170.79999999999998
2,8993,Q5721930,T0789614523,100,16.1,15.0,2.8,173,123,42.0
3,8993,Q5721930,F8309126754,101,15.2,75.0,1.2,167,86,90.0
3,8993,Q5721930,Q3814605792,102,15.2,74.0,1.3,167,86,96.2
3,8993,Q5721930,Y0689752143,103,15.2,73.0,1.7,167,86,124.1
2,8993,Q5721930,R2035614987,104,16.1,6.0,2.9,173,123,17.4
2,8993,Q5721930,I0291576438,105,16.1,1.0,2.8,173,123,2.8
3,8993,Q5721930,G1049586732,106,15.2,50.0,2.7,167,86,135.0
2,8993,Q5721930,O7480312965,107,15.2,48.0,2.1,167,86,100.80000000000001
2,8993,Q5721930,B2306987145,108,15.2,33.0,2.1,167,86,69.3
2,5476,Q5721930,W0281534796,109,15.2,31.0,2.8,167,86,86.8
3,8993,U2316840,L1397504862,110,15.2,53.0,2.2,167,86,116.60000000000001
3,8993,Q5721930,L2073895614,111,16.1,64.0,2.7,173,123,172.8
3,8993,Q5721930,L2073895614,112,15.2,53.0,2.7,167,86,143.10000000000002
2,8993,J4970165,F8309126754,113,15.2,115.0,1.2,167,86,138.0
3,1616,J4970165,W5648903712,114,15.2,53.0,2.9,167,86,153.7
3,5476,Q5721930,V0798321654,115,15.2,109.0,1.5,167,86,163.5
3,8993,J4970165,T5012479683,116,15.2,102.0,1.5,167,86,153.0
