product_code,standard_size
J2839075614,2.1
U4658091237,2.9
C2518960374,2.6
G2394608157,1.9
D8274531096,2.0
N8751492360,1.4
H0315742689,2.4
A7026815349,2.9
Z3851749620,1.5
Z4260395718,1.8
E9102365874,2.5
A8765104392,1.9
N6439207185,2.9
D5248317609,2.9
V1685432790,2.3
X0763491825,2.4
O4019576382,2.3
I9564730182,2.4
W4708315926,1.5
G6390458172,2.4
P2936781405,2.3
R4250698713,2.7
O4325018679,1.8
F6593278041,2.7
A0428359617,1.7
G5392140687,2.9
Z7016435829,2.4
C8057364912,1.3
J0687432195,1.3
A7351492086,1.5
Y0843715296,1.3
S5381297640,1.1
G5137629840,3.0
Y5671438920,1.6
P3084752961,2.8
U5907184362,2.8
D1849056273,2.7
D8230795641,1.1
T1420753968,1.2
A1426709358,2.0
O0971523468,1.9
F5628430179,1.1
G4218653097,1.1
U2738501946,1.0
J8406791352,2.2
A1803765249,1.1
O6917208435,2.9
D8421370965,1.9
D1692047583,1.3
Z5371089246,1.7
N3607128954,1.5
E5762930814,1.5
I8307625491,1.2
M7390461582,1.0
F1682459073,2.4
A6245891703,2.5
T1036254987,2.6
