product_code,standard_size
L0384512769,2.2
S8354962107,2.3
K1052398746,2.2
K2468935017,2.4
F8350196274,1.9
C4629708531,1.7
P2346950781,2.6
G1084259637,2.0
C6532849170,2.6
U7369215840,2.0
F0975482631,2.5
G5721084396,2.7
Q7045961382,1.7
B8460531792,2.6
I4231956807,1.3
L8307514269,1.4
K8679405213,2.6
R8236145709,1.2
W9364128570,2.1
A2937546108,1.3
X0524173986,1.6
J6259107438,2.1
Z7962408153,2.8
T0527968134,2.7
E2798053146,2.2
N1976032845,2.7
H2140597368,1.3
U6794082351,2.5
Y2895471603,2.4
P2890547316,2.3
E4136729580,2.9
