product_code,standard_size
M2608419357,2.6
X7260935841,1.2
U9384751620,3.0
N5671039824,2.3
Z6480371259,2.9
G1947652308,1.3
Z1854069237,2.0
B7051643829,1.7
R7926814350,1.2
F1638527904,2.3
I5760418239,1.1
K2386094175,2.5
B4802635719,2.5
K0926573814,2.5
E4810695273,2.8
U6027349815,2.7
X0967853421,1.9
T3890516742,2.4
O8479150632,2.1
G3284096571,1.9
W4928635701,1.8
U5231840796,2.7
C0492658317,2.1
C8192375640,1.6
M6037491825,1.6
H4250798136,2.4
T0753681249,2.5
J8913572064,2.8
U9086732514,2.6
V7863201945,1.5
T1835462709,2.0
G7534092861,3.0
N5714829063,2.2
S9130564827,1.9
M4619728053,2.2
W7946512380,1.5
H1237049856,2.4
S5824903716,1.5
