plant_code,product_code,volume
1284,G1240579638,100
1284,O8126457930,97
1284,X5493027816,50
1284,E0416523789,59
1284,V8217436509,80
1284,I9634825701,63
1284,Z3619854702,88
1284,F8146502793,106
1284,K4863107592,108
1284,B0539612748,60
1284,S5012379486,84
1284,R8450617932,62
1284,E7106592384,131
1284,I6972835401,52
1284,T5640783912,66
1284,Y1905284637,97
1284,R1930854267,98
1284,J8920537416,156
1284,V9602371584,82
1284,B4981563702,161
1284,A2349705186,41
1284,F7325906418,53
1284,E7506928413,104
1284,R7048265193,40
1284,P9410756283,65
1284,E0237684915,99
1284,Q5307829164,108
1284,L7459820613,162
1284,Q3086795124,131
1284,F1746593280,124
1284,C7319520486,135
1284,T0627913485,68
1284,L5246839017,55
1284,T9854762130,94
1284,F3086724159,52
1284,E2461395087,92
1284,T0329486175,48
1284,V1753208946,69
1284,S4875392160,48
1284,J5134209678,48
1284,O3948176502,141
1284,F3109746528,102
1284,Q7412036985,122
1284,U7936142508,44
1284,P7459086231,115
1284,L4965132078,49
1284,J7259018436,133
1284,L3189062745,41
1284,Q6378254109,114
1284,E8390215674,107
1284,G9723418650,146
1284,B0481725963,60
1284,U7964018532,94
1284,G5283049761,51
1284,S6421870539,92
1284,P8206473591,58
1284,C8592107364,146
1284,H3014685972,54
1284,K5084916732,99
1284,R0796158243,93
1284,C0432917856,119
1284,Q2071684395,50
1284,T5216894730,138
1284,V1420758369,86
1284,P3629810547,139
1284,Q6870351924,99
1284,C4730985216,85
1284,R9841065237,67
1284,F4283190756,128
1284,O9873061245,111
1284,J0741583629,116
1284,E9234075681,103
1284,H4623891570,119
1284,B8216350479,171
1425,G1240579638,72
1425,O8126457930,70
1425,X5493027816,85
1425,E0416523789,135
1425,V8217436509,109
1425,I9634825701,89
1425,Z3619854702,67
1425,F8146502793,44
1425,K4863107592,144
1425,B0539612748,107
1425,S5012379486,73
1425,R8450617932,111
1425,E7106592384,119
1425,I6972835401,128
1425,T5640783912,94
1425,Y1905284637,70
1425,R1930854267,81
1425,J8920537416,156
1425,V9602371584,96
1425,B4981563702,97
1425,A2349705186,70
1425,F7325906418,56
1425,E7506928413,140
1425,R7048265193,57
1425,P9410756283,61
1425,E0237684915,56
1425,Q5307829164,134
1425,L7459820613,67
1425,Q3086795124,52
1425,F1746593280,73
1425,C7319520486,69
1425,T0627913485,57
1425,L5246839017,116
1425,T9854762130,68
1425,F3086724159,73
1425,E2461395087,49
1425,T0329486175,45
1425,V1753208946,82
1425,S4875392160,122
1425,J5134209678,124
1425,O3948176502,124
1425,F3109746528,62
1425,Q7412036985,92
1425,U7936142508,54
1425,P7459086231,68
1425,L4965132078,107
1425,J7259018436,144
1425,L3189062745,51
1425,Q6378254109,112
1425,E8390215674,106
1425,G9723418650,150
1425,B0481725963,102
1425,U7964018532,46
1425,G5283049761,77
1425,S6421870539,98
1425,P8206473591,87
1425,C8592107364,75
1425,H3014685972,66
1425,K5084916732,94
1425,R0796158243,121
1425,C0432917856,111
1425,Q2071684395,66
1425,T5216894730,144
1425,V1420758369,115
1425,P3629810547,129
1425,Q6870351924,44
1425,C4730985216,126
1425,R9841065237,107
1425,F4283190756,98
1425,O9873061245,120
1425,J0741583629,71
1425,E9234075681,85
6246,G1240579638,51
