client_code,product_code,day,volume
G5476832,E3076291458,7,0
Z4651870,J3781254960,7,7
Y0812634,Z9054182367,7,6
A7304281,B6409832715,7,0
G5476832,B6409832715,7,0
X9520786,F4675103928,7,0
G5476832,W8956327410,7,0
S0576124,A3250781649,7,5
Z4651870,P1427039856,7,6
V1374892,R9018527346,7,0
S0576124,Y4059321768,7,0
Z4651870,Z9054182367,7,0
G9610735,J3781254960,7,0
F0531849,Z4197836520,7,11
A7304281,R9018527346,7,10
N8759213,W3021675849,7,10
A7304281,I7063124958,7,9
V1374892,O2153064978,7,5
X9520786,R6452079381,7,0
F0531849,Y4059321768,7,9
G9610735,Z4197836520,7,12
Z4651870,J2615973084,7,11
Y0812634,Z4197836520,7,11
A7304281,W3021675849,7,5
D0217948,W8956327410,7,5
Z4651870,O0175698423,7,9
V1374892,Z4197836520,7,11
G5476832,G7640398215,7,5
C9601732,A3250781649,7,3
X9520786,X2150793468,7,12
G9610735,X2150793468,7,3
Y0812634,Y4059321768,7,0
N8759213,I7063124958,7,18
V1374892,Z1472938065,7,10
G9610735,Y6829501374,7,6
V1374892,Y4059321768,7,0
Z4651870,Y6829501374,7,0
S0576124,W3021675849,7,4
N8759213,I0254378691,7,31
X9520786,M6273048591,7,0
N7430196,X9360854127,7,4
D0217948,B6409832715,7,0
Z4651870,I7063124958,7,8
C9601732,Y6829501374,7,3
D0217948,J3781254960,7,0
N8759213,W8956327410,7,1
N7430196,P1427039856,7,3
G9610735,Z9054182367,7,0
F0531849,G7640398215,7,17
N7430196,Y4059321768,7,21
G5972608,X9360854127,7,10
C9601732,L9746328510,7,10
X9520786,X9360854127,7,0
Z4651870,W3021675849,7,12
G5972608,W8956327410,7,7
A7304281,P4982730156,7,1
N7430196,R9018527346,7,3
G9610735,R9018527346,7,33
C9601732,Y4059321768,7,6
G5972608,I0254378691,7,0
S0576124,J3781254960,7,0
G9610735,W3021675849,7,5
Y0812634,W3021675849,7,4
G5972608,X2150793468,7,12
G5476832,X2150793468,7,9
D0217948,X2150793468,7,1
S0576124,I7063124958,7,8
D0217948,G7640398215,7,14
V1374892,W3021675849,7,4
F0531849,A3250781649,7,14
Y0812634,I7063124958,7,13
G9610735,O0175698423,7,8
Y0812634,R9018527346,7,21
N8759213,J3781254960,7,9
C9601732,W8956327410,7,0
F0531849,P4982730156,7,0
N8759213,J2615973084,7,17
N7430196,U1284069537,7,1
G8543720,X9360854127,7,0
Z4651870,P4982730156,7,0
Y0812634,J3781254960,7,0
Q3165074,L5421076839,7,5
C9601732,R6452079381,7,7
N8759213,R6452079381,7,7
N8759213,G7640398215,7,18
G5972608,O2153064978,7,0
G5476832,F4675103928,7,6
G9610735,W8956327410,7,0
Y0812634,O2153064978,7,21
G8543720,R6452079381,7,0
S0576124,O0175698423,7,0
Q3165074,P1427039856,7,5
G8543720,F4675103928,7,13
D0217948,M6273048591,7,15
G9610735,R6452079381,7,7
A7304281,A3250781649,7,0
D0217948,L9746328510,7,6
S0576124,I0254378691,7,0
F0531849,M6273048591,7,1
D0217948,Z1472938065,7,10
S0576124,X9360854127,7,0
X9520786,J2615973084,7,0
N7430196,B6409832715,7,0
N7430196,Z1472938065,7,16
G8543720,O2153064978,7,5
Z4651870,A3250781649,7,3
S0576124,P1427039856,7,5
Z4651870,O2153064978,7,10
N7430196,T3562891407,7,18
A7304281,I0254378691,7,0
Z4651870,I0254378691,7,0
N7430196,W3021675849,7,28
Q3165074,O0175698423,7,3
Z4651870,X2150793468,7,3
Y0812634,P1427039856,7,10
G5476832,A3250781649,7,4
Q3165074,Z1472938065,7,0
S0576124,Z1472938065,7,8
D0217948,F4675103928,7,6
N7430196,L9746328510,7,7
V1374892,G7640398215,7,0
G9610735,I7063124958,7,7
N8759213,X2150793468,7,4
V1374892,A3250781649,7,3
Y0812634,W8956327410,7,3
N8759213,M6273048591,7,14
Q3165074,W3021675849,7,8
A7304281,Z4197836520,7,11
G5972608,E3076291458,7,0
C9601732,J3781254960,7,0
G5972608,T3562891407,7,8
N8759213,L9746328510,7,14
G5476832,I7063124958,7,8
F0531849,J3781254960,7,21
A7304281,Z1472938065,7,28
G5972608,Z9054182367,7,0
A7304281,Y4059321768,7,0
Q3165074,Z4197836520,7,0
Y0812634,M6273048591,7,0
X9520786,U1284069537,7,14
N8759213,P1427039856,7,0
N8759213,Z9054182367,7,9
C9601732,P4982730156,7,2
V1374892,R6452079381,7,0
S0576124,Y6829501374,7,19
C9601732,X2150793468,7,9
N8759213,L5421076839,7,6
Z4651870,Z4197836520,7,0
N7430196,Y6829501374,7,5
S0576124,Z9054182367,7,7
D0217948,Y4059321768,7,13
Z4651870,L5421076839,7,0
N8759213,F4675103928,7,10
G5476832,Z4197836520,7,0
N7430196,J3781254960,7,0
N8759213,P4982730156,7,1
X9520786,G7640398215,7,0
Z4651870,Z1472938065,7,8
N7430196,P4982730156,7,6
Z4651870,T3562891407,7,0
C9601732,I0254378691,7,0
G9610735,Y4059321768,7,46
C9601732,Z9054182367,7,5
C9601732,G7640398215,7,8
D0217948,I7063124958,7,8
A7304281,J2615973084,7,11
G8543720,Z4197836520,7,17
S0576124,Z4197836520,7,0
C9601732,J2615973084,7,11
Q3165074,A3250781649,7,8
G5476832,P1427039856,7,10
X9520786,Z9054182367,7,1
S0576124,R6452079381,7,0
G8543720,J2615973084,7,0
G5972608,I7063124958,7,23
Q3165074,P4982730156,7,3
C9601732,P1427039856,7,0
N7430196,A3250781649,7,14
G5972608,L9746328510,7,1
G5476832,X9360854127,7,14
D0217948,W3021675849,7,7
G5476832,J2615973084,7,11
F0531849,O0175698423,7,7
V1374892,U1284069537,7,0
Q3165074,G7640398215,7,4
N8759213,O0175698423,7,14
G5972608,Y4059321768,7,0
F0531849,J2615973084,7,0
G8543720,B6409832715,7,0
G9610735,Z1472938065,7,36
G9610735,E3076291458,7,1
F0531849,P1427039856,7,8
C9601732,M6273048591,7,0
D0217948,X9360854127,7,10
N7430196,G7640398215,7,4
G9610735,P1427039856,7,0
S0576124,W8956327410,7,6
X9520786,A3250781649,7,5
G9610735,U1284069537,7,1
Y0812634,F4675103928,7,0
X9520786,I0254378691,7,2
N7430196,O0175698423,7,8
V1374892,X2150793468,7,0
V1374892,J2615973084,7,0
Y0812634,T3562891407,7,24
D0217948,I0254378691,7,0
N8759213,Z1472938065,7,78
F0531849,Y6829501374,7,7
Z4651870,B6409832715,7,0
F0531849,Z1472938065,7,17
Z4651870,L9746328510,7,11
Z4651870,G7640398215,7,1
G5972608,Y6829501374,7,0
Q3165074,R6452079381,7,3
G5972608,F4675103928,7,2
G5476832,M6273048591,7,0
G5476832,P4982730156,7,0
D0217948,J2615973084,7,11
G8543720,Y4059321768,7,0
D0217948,U1284069537,7,3
Q3165074,W8956327410,7,9
A7304281,W8956327410,7,8
A7304281,Y6829501374,7,3
A7304281,G7640398215,7,0
Z4651870,Y4059321768,7,10
Q3165074,R9018527346,7,11
G9610735,L5421076839,7,12
G8543720,W3021675849,7,0
D0217948,P4982730156,7,6
S0576124,T3562891407,7,0
D0217948,R6452079381,7,9
X9520786,W3021675849,7,4
G9610735,B6409832715,7,6
N8759213,T3562891407,7,0
G8543720,I7063124958,7,0
C9601732,F4675103928,7,4
F0531849,W8956327410,7,2
G5972608,R6452079381,7,6
Q3165074,E3076291458,7,0
G8543720,Z1472938065,7,0
N7430196,L5421076839,7,6
Z4651870,R6452079381,7,8
G9610735,T3562891407,7,52
N8759213,O2153064978,7,33
F0531849,X9360854127,7,0
