product_code,standard_size
Z2657408391,3.0
T7109842653,1.3
J3912068745,1.1
C7925810436,2.1
U3052169847,2.7
O8620459317,2.1
L3496182507,1.8
S8245910763,1.6
X5629348107,2.4
G1286905734,1.9
I9376158240,2.7
E8604253791,1.6
H2956483071,1.2
W5423709861,1.1
J3947612580,2.5
G1786035249,2.0
Y1573042896,1.6
U5621748309,2.3
U4093816752,2.9
R8106975324,2.1
W7963140528,1.4
F5079462813,2.3
S0473651928,2.0
M3805649127,2.6
M2019834576,1.5
V5683017294,2.7
R7934516802,1.9
T4065938721,2.0
M9324061587,1.6
T9856034721,1.5
R3685142709,2.5
Y4506827913,2.3
O5892716403,2.9
Z4690572813,1.6
