product_code,standard_size
F3168704592,1.6
H1036845927,3.0
U1478325609,2.9
P3628975104,1.3
C6713840259,2.5
B9035427618,1.7
N1427503968,2.9
E6739401285,2.3
P9531068724,1.3
K1780659243,2.9
N1953278406,2.3
K3897405612,1.8
W1684295037,2.7
E1458620379,1.1
O6870934125,2.8
A6295140387,1.6
K4918302657,2.0
H2748965031,1.1
P8317950264,1.3
I6739518204,1.5
C1265309748,1.4
Q4019682753,1.3
V0931425786,1.3
J2871095364,2.4
B6309214875,1.3
O9387602415,2.7
S0573892146,2.6
T1843209576,2.0
B5739216048,1.8
Y4172950638,2.4
F6531729408,2.6
Y6432710895,2.9
Z2674501938,2.4
A7649012835,1.7
U0251837694,1.6
V1948275360,1.5
D0194582736,1.5
S3276954018,1.7
Q7519432806,3.0
A4362018759,1.0
