product_code,standard_size
B7160925834,1.8
U9342158670,2.8
L3941056782,2.4
G3215690784,3.0
N6841759302,3.0
S9104756328,2.0
V8472503169,2.3
N9768054123,2.3
C1209574386,1.1
D9105678234,2.0
W0486731295,2.0
V2031758496,2.9
I0816359724,1.6
F5286407391,2.4
I9854261703,2.1
Q0736942815,2.7
S7403295681,2.9
Z7965324108,2.2
P7230156984,1.6
N4956720381,2.9
D7824350169,1.2
S8906175432,2.5
P7896324015,2.7
F9738264015,2.1
D7056392148,1.0
U9206738154,2.7
W5823096741,2.6
F5079284631,2.7
V1657420398,1.7
D8639047125,1.1
A4157036982,2.6
W7840925361,1.9
S7403698125,2.2
H5637819024,2.4
Z8350714629,2.0
W5630984217,2.0
M3947501286,2.3
G0163278459,2.0
F2670831495,2.7
B8205164397,2.3
C6427015839,2.5
R3057864219,1.7
N4296783501,2.1
R9852671340,2.6
D8571639240,2.4
S6158479320,1.7
S4091652387,2.7
J9652074138,2.9
I0392418576,2.1
P6915702483,2.9
S7958120346,1.4
D4268759103,1.2
K0956183427,1.2
F8267459031,1.6
U1648237059,1.7
K2014596837,2.2
B3079825416,1.2
C4960358127,2.3
S8306147295,1.6
F6291375804,1.7
C4173568209,1.3
A7394168502,2.9
K9064723158,2.4
N2587439610,1.2
E0926547813,3.0
D9527436081,2.5
K4618957320,2.1
E2174083695,2.0
T7543289061,2.0
M7138029654,2.9
F7189643025,1.4
R0513942867,2.3
N9508176324,2.3
V6803129457,2.3
X3756081492,1.0
M3749152068,3.0
R7356429810,2.8
S8174390625,2.3
A5102487396,1.2
L2983406175,2.4
C6975824310,2.3
R4389516702,1.0
B1784506392,1.9
F3901286457,2.0
U9628017435,1.5
T2781904356,1.7
R6950147328,2.0
Z8037514692,1.1
