product_code,standard_size
W0138564792,1.6
L5074981623,1.4
O7428931650,2.4
S3728015469,1.7
O2719085364,2.4
Q5632790814,1.5
J9814370265,1.5
O5127486930,1.9
F0963548217,2.5
C7194258036,1.2
V0639415827,1.6
A7632145890,1.3
T9627140385,2.1
Y3927840516,1.5
V0347629185,2.8
T2850961734,1.3
M3789510462,2.3
J1638509427,2.6
A8561394027,2.4
O0953462718,1.5
J8531270469,1.8
M1869237450,2.7
I5168203479,1.4
S8476152930,1.6
Q3270158649,2.1
D3761082549,2.2
J1502879364,2.7
J3206519847,2.4
N0195346728,2.2
N2740916853,1.6
E0123476895,1.5
W4321587069,1.7
H7591238046,1.2
X2983740165,2.7
Y4516028937,2.9
