product_code,standard_size
C8269547103,2.4
G1678425903,3.0
V4518230769,2.6
H7546903128,1.5
S1043825976,2.4
M7639412580,2.8
A7940652183,3.0
U3168954702,1.4
E4615390872,2.0
F1604932578,2.7
L4986352701,1.0
A3721045869,1.9
Z3607148952,1.6
H4823015976,1.1
A1390526847,1.5
D7962504813,1.5
B8467192053,2.8
Q3047295861,2.6
B5740139826,2.7
I7865943210,2.7
B1907485623,1.1
J4813027695,2.1
L7934862051,2.8
Q5826970314,1.0
J0279836451,2.6
L9648302751,2.5
D5483976120,2.8
L0869375214,2.3
B0478513926,2.1
V7289563104,2.3
W5019837462,2.3
G2938514607,2.0
S3082547169,1.1
S6145732098,3.0
D2173085964,1.9
L3418652097,1.2
Y4798162503,2.0
O6178329405,2.0
U7298361540,2.8
M0735914862,2.9
K1987452360,2.1
Q4387169205,1.4
V2043875169,2.1
G4539028716,1.4
W7468192503,1.0
L7083651294,1.5
U6597318204,2.9
