product_code,standard_size
T3180456972,2.5
X8765931024,1.7
J6087419532,1.3
F3275941806,1.1
S5986134207,1.2
N1925734608,1.7
N2786195034,2.2
L1857460239,3.0
Y5472831906,2.0
X9602483571,2.3
K7013489265,1.8
E9803517624,2.8
A9603147825,2.9
W6427185930,2.2
V0879615324,1.4
D4530127968,2.6
D1478952630,1.3
D1726495380,2.7
G2931605874,1.2
H9072365841,1.5
V3715028946,2.7
H9671802435,2.0
M8034296157,1.3
W2630145987,2.2
C8915673042,2.6
J5193608274,1.4
E6823017954,1.8
B6538709214,2.5
M8524637019,2.8
D5809127634,1.4
Q9263541087,1.8
R2907183564,1.6
J2563047198,2.9
V2436857019,1.7
P0825946173,1.8
H7015894632,1.7
E5930874612,2.1
Y9320147568,2.5
J1986237504,1.6
A8106795324,2.0
R4321695780,1.6
X6047213589,2.2
M6038549271,1.9
H8374196025,1.2
R3659801724,2.2
P1762853049,2.2
C1526039748,1.6
I3289456107,1.1
I9418520637,2.8
F7396108452,1.6
L9751406382,1.7
U5479823160,1.8
U7930428156,1.3
N6418073952,2.1
Z5981032476,1.2
R6071324589,2.0
D3647521089,1.7
M2358470619,2.1
J6859023471,1.5
I4132978056,1.6
A0516284397,1.1
B5863712940,1.1
J3789056214,3.0
C0614538279,2.0
A6759832401,2.7
T7693082415,2.9
K3174829056,1.5
Q9387614025,1.1
X6732018459,3.0
P7985041326,1.6
E8473596210,1.6
S7193628054,2.1
W5209438716,1.2
M7685139402,2.5
R5428173609,2.7
C5871263490,2.2
S4731609825,1.6
H9465172830,2.5
R9867015342,1.5
L8194675032,1.7
L7832095164,2.7
C4813697520,2.7
X4325801769,1.1
Y5748130269,2.3
B9043265178,1.2
B7604985123,1.9
S3901527486,2.3
U0941325687,1.4
