product_code,standard_size
M8276510349,2.2
X9365420718,1.0
N8302496517,2.1
K6285407913,2.7
Z6732915408,1.0
T4032519876,1.9
F2931548607,1.6
T6978405321,1.5
Y4723160895,2.9
M3149728650,1.6
F4609528173,2.1
Z1259873046,1.3
V0547396182,1.6
O3657481902,2.5
M6890174235,2.0
J3698175024,2.4
A5271489036,1.9
U0218635479,2.7
V9402318765,2.1
W2803194756,1.8
X7643521908,1.9
W1239684507,1.4
U4201789563,2.2
W7093245861,2.2
N4879256310,1.6
O5782436910,1.3
N6142730589,2.1
M2038956417,2.8
A3479250618,1.8
X5948670213,2.3
R1038642975,2.4
D1062548793,1.6
W4632087915,2.4
C8423906517,1.5
S4087653219,1.3
R2145736908,2.1
G7154902386,1.6
V0813567249,2.9
J5213749806,2.7
D4590612387,2.8
I3648579102,1.4
V5346028197,2.2
L3845170962,1.6
K3057914682,2.7
Q2615498370,2.3
W6721038495,1.5
J2563984017,1.5
K6029438715,2.3
T0697485213,2.7
D4726015983,2.0
B1503249768,2.2
G6482317950,1.5
O1475038269,2.0
B3571960248,2.6
Q3802651794,1.1
F7132408569,2.5
E2145678930,1.9
M7351260849,2.2
T7589412063,2.2
G7596380412,1.2
I6810259437,1.1
N7563094812,2.7
W2638497105,2.6
M3704961285,1.6
T1245073689,1.6
D1542069783,1.0
Y2785630491,2.9
O1038497562,2.1
W9375810462,1.8
O1872934650,2.7
I2608315794,1.2
H2160583479,1.6
R3807645219,1.1
T7249368501,1.3
F4390768125,1.8
U5672310489,1.7
L7042516398,1.3
E6183094572,1.1
O9825413706,1.2
U0239847561,2.9
X6138257904,1.2
I0156482793,2.6
S8359026417,2.6
F0825916347,2.0
S3751826409,2.4
I1376950482,2.4
C7089516234,2.1
Y1452860379,3.0
G3150879462,2.4
