product_code,standard_size
Q2154863907,2.4
M1724306985,2.1
G0458731629,1.7
N9542601873,2.8
F4657921380,2.6
Q1347065928,2.7
F1723085964,2.6
X9217048536,1.9
K3280675941,1.5
N1637042598,1.5
K5846079123,1.4
H5376421089,2.6
Z0286193457,2.6
A3752906481,1.8
A1538702496,1.2
M6923854710,2.1
V4286103597,2.8
J8035416972,1.8
N1325846790,1.5
W0983256714,1.6
A4125936807,1.4
A8952416703,1.6
Q0814923756,2.2
J6390521478,1.8
S9631854702,2.8
L8746512039,1.2
V7152039864,1.9
C8460573129,2.6
S8520714693,2.7
C7245689031,1.6
H2089165374,2.5
T1743920586,2.1
K6951247308,2.8
E8297406315,1.6
O8063129547,1.5
J2548193670,2.6
W2461789035,2.0
L4567230891,2.7
M9604785123,2.6
T3540867921,2.0
N7634801925,3.0
N6385291740,2.2
L7693815240,1.6
B2469138507,1.9
A9064235871,2.0
Q6987514230,1.2
I9416875032,1.4
I7984102365,2.3
Q1806947352,2.2
L1827409635,1.4
V1903768254,1.3
I8531942670,2.7
W8057239641,1.1
C8650374921,2.6
P5430127986,1.1
B3980264157,2.6
P8157036942,2.4
F7830516294,1.8
A7251394860,1.1
V6719250834,1.6
M2319478506,2.7
C9421530768,2.9
X8502196743,1.0
Z7356148209,1.1
K9762438501,1.5
G1024796853,2.4
S3159748206,2.0
Z6201375894,1.2
