product_code,standard_size
G2974138065,1.6
K7914058623,2.9
M5613429087,1.4
X9301267854,2.8
O4601527398,1.0
I6145783209,2.3
U3806915427,1.5
G2934860715,1.2
X6849201357,3.0
M3107528946,1.7
G2376894015,1.7
E9057861243,1.6
S6357801249,1.2
Q8027465391,1.7
H8219043765,1.6
X2738694051,1.2
T2471863950,1.9
C8941567032,2.7
G0741265389,1.8
B9847650213,1.7
B2419785603,2.3
G9062371845,3.0
H0982371456,2.6
G8763954012,2.0
K3285160479,2.1
N6178340925,2.7
W8672594013,2.4
A5093187426,2.2
L7961803254,1.1
D0415793268,2.6
M0687593412,2.9
F9215086734,2.3
F4065827931,1.9
N1378605249,1.5
C5064789123,2.2
W1480935276,2.3
B0167592438,1.2
K4031687592,2.2
Q5642137908,2.0
