product_code,standard_size
O3975860421,1.9
R5840273961,2.1
V7109465823,2.0
Z0923541876,2.0
C9320684517,1.5
Y6975034218,1.1
P8093461725,1.2
V9847302516,2.3
N4753928601,2.0
B5189062734,1.4
Y1367504298,2.6
E8431256097,1.2
O9032158764,1.0
R6712854309,1.1
M5607318924,2.8
V5061943278,1.4
F1986405732,2.3
M0842619735,1.3
H7843921065,3.0
Q2738905641,1.6
Z3467250189,2.4
Z5163407982,2.2
X2348679510,2.7
T2567849310,1.3
F6704893125,1.3
E0562417983,2.6
Y1372658049,2.6
Z0524613897,1.1
K6581370249,1.1
J2386510974,2.5
S8423976150,1.9
B5862301974,1.8
E3815276409,1.7
P5914238760,2.9
N0682971453,1.2
I9534270186,2.0
Z7341586902,1.8
M8437296501,1.3
O2817436059,2.6
Y6958471302,2.6
Z0512874396,1.6
J3527681940,2.7
