product_code,standard_size
X6342081579,1.0
G5827096143,1.4
K0719836254,1.3
Z9351724680,2.9
L3089657241,2.2
N2507349618,1.4
E9607538124,1.1
V4089215376,2.8
V8395761402,1.7
B6340257981,2.8
U0496287153,3.0
L8352714069,2.6
K7658429013,1.1
S2389460715,2.8
F2581493760,2.5
H0915243786,2.8
W0593187264,2.3
X9128307456,2.6
J0921843675,1.6
Z5627149380,2.5
X7213486095,1.1
P1895740632,1.5
Z1432756809,2.0
D8547923016,1.7
B2378156490,2.3
D4095876312,2.0
L3697485120,2.3
P6740983125,1.0
Y4916875023,1.6
C1823506749,2.5
I2076891345,1.5
Q2517689304,2.1
S3685147902,2.8
U4918236075,2.0
P5907348126,2.6
S0279316548,2.3
L2730958461,2.6
Z2971604835,1.2
C9046813725,1.9
