product_code,standard_size
E9145306278,1.8
E4091652783,2.3
C9157306428,2.0
L6153048729,2.7
S9785610342,2.7
D3029574861,1.9
D4389072165,1.8
M8407951326,1.0
Z4798065312,2.3
E5209846371,1.8
Y0182563974,2.6
D2480567319,3.0
F7248051396,2.7
U1356082749,2.5
S7194386250,3.0
X4923751086,2.8
J6479051382,2.9
K9746501328,1.1
A1098542763,1.4
E8364751029,2.3
Z3725049168,2.3
P4693572180,2.5
Y5048136792,2.6
S1307869245,2.9
M6895412307,2.3
S1724906583,2.2
R8940327165,1.8
H0983567142,2.4
E7460123895,1.7
X2105387496,1.3
Q3261705498,1.8
K8139264750,1.9
F8162975403,1.4
Q5930281467,2.0
S7152894063,1.1
Y8463152079,2.0
B3580429716,2.9
I5102397684,2.7
P8719403265,2.8
G4920531687,1.2
J1472963085,1.1
A7031265948,3.0
U2319670485,2.1
E8435912760,1.2
Q5169408372,1.4
I9352481607,3.0
T1598402376,1.3
L9245781063,2.8
E8125467093,1.3
T1475698302,1.6
R2407386951,1.6
B6719430852,2.4
E1728503964,1.1
O5249081637,2.7
B4251387609,1.5
V4307896215,2.8
B6128904573,2.2
