day,plant_code,client_code,vehicle_id,vehicle_type,qty,carry_standard_size,min_standard_size,occupied_size
2,8434,I9713246,1,4.5,44.0,53,38,52.8
3,6590,Z7048963,2,6.6,71.0,93,59,92.3
3,8434,N1768042,3,15.8,56.0,136,88,134.4
2,6702,G8562173,4,5.0,20.0,59,32,58.0
3,8434,A1023598,5,15.8,80.0,136,88,136.0
1,6590,Q0837169,6,6.6,71.0,93,59,92.3
1,6590,R0394857,7,6.6,71.0,93,59,92.3
1,8434,G8562173,8,6.6,77.0,93,59,92.4
3,6702,A1023598,9,15.8,46.0,136,88,133.4
3,6702,A1023598,10,15.8,46.0,136,88,133.4
2,8434,N1768042,11,6.6,38.0,93,59,91.2
3,6702,A7925360,12,15.8,46.0,136,88,133.4
3,6702,A7925360,13,15.8,46.0,136,88,133.4
3,6702,G7082356,14,6.6,32.0,93,59,92.8
1,8434,I9812753,15,6.6,77.0,93,59,92.4
2,6702,I9812753,16,4.5,18.0,53,38,52.2
3,6702,A7925360,17,4.5,18.0,53,38,52.2
2,6590,L2816793,18,4.5,35.0,53,38,52.5
3,8434,B9243806,19,15.8,80.0,136,88,136.0
1,8434,Z1328495,20,4.5,44.0,53,38,52.8
1,8434,Z1328495,21,4.5,44.0,53,38,52.8
2,8434,K0894137,22,4.5,44.0,53,38,52.8
2,8434,K0894137,23,4.5,44.0,53,38,52.8
3,6702,P3980725,24,6.6,32.0,93,59,92.8
2,6590,L2816793,25,6.6,62.0,93,59,93.0
2,8434,D9432085,26,6.6,77.0,93,59,92.4
3,6702,Z7048963,27,5.0,20.0,59,32,58.0
2,6590,L2816793,28,15.8,1.0,136,88,1.5
2,6590,L2816793,28,15.8,46.0,136,88,133.4
2,6590,L2816793,29,15.8,1.0,136,88,1.5
2,6590,L2816793,29,15.8,46.0,136,88,133.4
3,8434,I9812753,30,6.6,77.0,93,59,92.4
3,6590,L9123457,31,15.8,1.0,136,88,1.5
3,6590,L9123457,31,15.8,64.0,136,88,134.4
3,8434,L9123457,32,4.5,31.0,53,38,52.7
3,8434,L9123457,33,4.5,31.0,53,38,52.7
3,8434,L9123457,34,4.5,31.0,53,38,52.7
2,8434,E2084516,35,6.6,1.0,93,59,1.8
2,8434,E2084516,35,6.6,53.0,93,59,90.1
1,6590,G8562173,36,6.6,62.0,93,59,93.0
1,8434,R0394857,37,4.5,44.0,53,38,52.8
1,8434,R0394857,38,4.5,44.0,53,38,52.8
3,8434,P3980725,39,6.6,77.0,93,59,92.4
1,8434,B9243806,40,6.6,54.0,93,59,91.8
3,6702,B9243806,41,15.8,46.0,136,88,133.4
3,8434,M7246581,42,4.5,35.0,53,38,52.5
2,6590,A1023598,43,15.8,1.0,136,88,1.5
2,6590,A1023598,43,15.8,64.0,136,88,134.4
3,6590,D9432085,44,6.6,43.0,93,59,90.3
3,6590,D9432085,44,6.6,1.0,93,59,2.3
3,6590,D9432085,45,6.6,43.0,93,59,90.3
3,6590,D9432085,45,6.6,1.0,93,59,2.3
3,8434,Q0837169,46,4.5,22.0,53,38,52.8
1,6702,B9243806,47,6.6,32.0,93,59,92.8
3,6590,Z1328495,48,15.8,1.0,136,88,2.4
3,6590,Z1328495,48,15.8,58.0,136,88,133.39999999999998
3,6702,Z7048963,49,15.8,46.0,136,88,133.4
3,6590,B9243806,50,6.6,32.0,93,59,92.8
2,8434,Q0837169,51,6.6,1.0,93,59,1.7
2,8434,Q0837169,51,6.6,38.0,93,59,91.2
1,8434,G8562173,52,5.0,49.0,59,32,58.8
3,6702,G8562173,53,15.8,46.0,136,88,133.4
3,6702,G8562173,54,15.8,46.0,136,88,133.4
3,8434,I9713246,56,6.6,34.0,93,59,91.8
3,8434,I9713246,56,6.6,1.0,93,59,1.2
3,8434,I9713246,55,6.6,34.0,93,59,91.8
3,8434,I9713246,55,6.6,1.0,93,59,1.2
1,6590,P3980725,57,4.5,35.0,53,38,52.5
1,8434,E2084516,58,6.6,1.0,93,59,2.4
1,8434,E2084516,58,6.6,53.0,93,59,90.1
1,8434,R0394857,59,6.6,62.0,93,59,93.0
2,6590,G8562173,60,5.0,1.0,59,32,1.3
2,6590,G8562173,60,5.0,24.0,59,32,57.6
2,8434,A1023598,61,5.0,24.0,59,32,57.6
1,6590,B8230651,62,5.0,15.0,59,32,36.0
1,6590,B8230651,62,5.0,10.0,59,32,23.0
1,6590,B8230651,63,5.0,15.0,59,32,36.0
1,6590,B8230651,63,5.0,10.0,59,32,23.0
1,6590,G8562173,64,15.8,1.0,136,88,1.3
1,6590,G8562173,64,15.8,56.0,136,88,134.4
3,6590,K0894137,65,6.6,41.0,93,59,86.10000000000001
3,6590,K0894137,65,6.6,3.0,93,59,6.9
3,6590,Z1328495,66,5.0,24.0,59,32,57.6
1,6590,I9812753,67,4.5,22.0,53,38,50.6
1,6590,I9812753,67,4.5,1.0,53,38,2.4
1,6590,A1023598,68,5.0,1.0,59,32,1.5
1,6590,A1023598,68,5.0,25.0,59,32,57.49999999999999
2,6590,Q0837169,69,15.8,1.0,136,88,1.3
2,6590,Q0837169,69,15.8,56.0,136,88,134.4
2,6590,Q0837169,70,15.8,1.0,136,88,1.3
2,6590,Q0837169,70,15.8,56.0,136,88,134.4
2,6590,K0894137,71,6.6,41.0,93,59,86.10000000000001
2,6590,K0894137,71,6.6,3.0,93,59,6.9
3,8434,P3980725,72,5.0,39.0,59,32,58.5
3,6590,L9123457,73,4.5,22.0,53,38,52.8
3,6702,I9812753,74,15.8,46.0,136,88,133.4
3,6702,I9812753,75,15.8,46.0,136,88,133.4
3,6590,B8230651,76,15.8,49.0,136,88,117.6
3,6590,B8230651,76,15.8,8.0,136,88,18.4
3,6702,P3980725,77,15.8,46.0,136,88,133.4
3,8434,E2084516,78,5.0,1.0,59,32,2.4
3,8434,E2084516,78,5.0,33.0,59,32,56.1
1,8434,P3980725,79,6.6,62.0,93,59,93.0
1,8434,M7246581,80,6.6,54.0,93,59,91.8
1,8434,M7246581,80,6.6,1.0,93,59,1.2
2,8434,G8562173,81,5.0,1.0,59,32,1.2
2,8434,G8562173,81,5.0,34.0,59,32,57.8
2,8434,G8562173,82,5.0,1.0,59,32,1.2
2,8434,G8562173,82,5.0,34.0,59,32,57.8
2,8434,G8562173,83,5.0,1.0,59,32,1.2
2,8434,G8562173,83,5.0,34.0,59,32,57.8
2,8434,G8562173,84,5.0,1.0,59,32,1.2
2,8434,G8562173,84,5.0,34.0,59,32,57.8
2,8434,G8562173,85,5.0,1.0,59,32,1.2
2,8434,G8562173,85,5.0,34.0,59,32,57.8
2,8434,G8562173,86,5.0,1.0,59,32,1.2
2,8434,G8562173,86,5.0,34.0,59,32,57.8
2,8434,G8562173,87,5.0,1.0,59,32,1.2
2,8434,G8562173,87,5.0,34.0,59,32,57.8
2,8434,G8562173,88,5.0,1.0,59,32,1.2
2,8434,G8562173,88,5.0,34.0,59,32,57.8
2,8434,G8562173,89,5.0,1.0,59,32,1.2
2,8434,G8562173,89,5.0,34.0,59,32,57.8
2,8434,G8562173,90,5.0,1.0,59,32,1.2
2,8434,G8562173,90,5.0,34.0,59,32,57.8
2,8434,G8562173,91,5.0,1.0,59,32,1.2
2,8434,G8562173,91,5.0,34.0,59,32,57.8
2,8434,G8562173,92,5.0,1.0,59,32,1.2
2,8434,G8562173,92,5.0,34.0,59,32,57.8
2,8434,G8562173,93,5.0,1.0,59,32,1.2
2,8434,G8562173,93,5.0,34.0,59,32,57.8
2,8434,G8562173,94,5.0,1.0,59,32,1.2
2,8434,G8562173,94,5.0,34.0,59,32,57.8
2,8434,G8562173,95,5.0,1.0,59,32,1.2
2,8434,G8562173,95,5.0,34.0,59,32,57.8
2,8434,G8562173,96,5.0,1.0,59,32,1.2
2,8434,G8562173,96,5.0,34.0,59,32,57.8
2,8434,G8562173,97,5.0,1.0,59,32,1.2
2,8434,G8562173,97,5.0,34.0,59,32,57.8
2,8434,G8562173,98,5.0,1.0,59,32,1.2
2,8434,G8562173,98,5.0,34.0,59,32,57.8
2,8434,G8562173,99,5.0,1.0,59,32,1.2
2,8434,G8562173,99,5.0,34.0,59,32,57.8
2,8434,G8562173,100,5.0,1.0,59,32,1.2
2,8434,G8562173,100,5.0,34.0,59,32,57.8
2,8434,G8562173,101,5.0,1.0,59,32,1.2
2,8434,G8562173,101,5.0,34.0,59,32,57.8
2,8434,G8562173,102,5.0,1.0,59,32,1.2
2,8434,G8562173,102,5.0,34.0,59,32,57.8
2,8434,G8562173,103,5.0,1.0,59,32,1.2
2,8434,G8562173,103,5.0,34.0,59,32,57.8
2,8434,G8562173,104,5.0,1.0,59,32,1.2
2,8434,G8562173,104,5.0,34.0,59,32,57.8
2,8434,G8562173,105,5.0,1.0,59,32,1.2
2,8434,G8562173,105,5.0,34.0,59,32,57.8
2,8434,G8562173,106,5.0,1.0,59,32,1.2
2,8434,G8562173,106,5.0,34.0,59,32,57.8
1,8434,Q0837169,107,4.5,1.0,53,38,1.7
1,8434,Q0837169,107,4.5,19.0,53,38,51.3
1,8434,A7925360,108,6.6,2.0,93,59,3.0
1,8434,A7925360,108,6.6,75.0,93,59,90.0
2,8434,K0894137,109,6.6,62.0,93,59,93.0
2,6702,E2084516,110,15.8,46.0,136,88,133.4
2,6702,E2084516,111,15.8,46.0,136,88,133.4
1,6590,Z1328495,112,15.8,56.0,136,88,134.4
2,6590,L9123457,113,15.8,1.0,136,88,1.5
2,6590,L9123457,113,15.8,56.0,136,88,134.4
3,6590,I9713246,114,15.8,83.0,136,88,124.5
3,6590,I9713246,114,15.8,5.0,136,88,11.5
3,6590,R0394857,115,4.5,22.0,53,38,50.6
3,6590,R0394857,115,4.5,1.0,53,38,2.4
3,6590,R0394857,116,4.5,22.0,53,38,50.6
3,6590,R0394857,116,4.5,1.0,53,38,2.4
1,6590,P3980725,117,6.6,2.0,93,59,4.2
1,6590,P3980725,117,6.6,37.0,93,59,88.8
1,6590,P3980725,118,6.6,2.0,93,59,4.2
1,6590,P3980725,118,6.6,37.0,93,59,88.8
3,8434,D9432085,119,5.0,1.0,59,32,1.2
3,8434,D9432085,119,5.0,24.0,59,32,57.6
3,8434,D9432085,120,5.0,1.0,59,32,1.2
3,8434,D9432085,120,5.0,24.0,59,32,57.6
3,8434,D9432085,121,5.0,1.0,59,32,1.2
3,8434,D9432085,121,5.0,24.0,59,32,57.6
1,6590,R0394857,122,4.5,22.0,53,38,52.8
1,6590,E2084516,123,4.5,22.0,53,38,50.6
1,6590,E2084516,123,4.5,1.0,53,38,2.4
2,6590,Z7048963,124,15.8,1.0,136,88,1.3
2,6590,Z7048963,124,15.8,56.0,136,88,134.4
