plant_code,product_code,volume
3002,F6452318970,81
3002,O6905142873,105
3002,J8275146093,136
3002,E5236019847,89
3002,P6085273194,119
3002,J5397408216,77
3002,P8403576129,79
3002,Z5318094627,83
3002,C7162803495,65
3002,Q9807236514,142
3002,Q6049527831,135
3002,W9421087365,119
3002,G0359782164,65
3002,O8127643509,73
3002,K4501936827,67
3002,N8613254079,101
3002,O9126507843,104
3002,D0467529381,185
3002,K7160523984,98
3002,L6870129354,64
3002,X7431926508,153
3002,L4791583062,107
3002,I1756039428,100
3002,L8314629570,149
3002,C8315067249,144
3002,U1205648379,91
3002,H7106985423,138
3002,A8341952760,94
3002,C2341067589,94
3002,W5302164897,97
3002,T2083751649,131
3002,R2961780543,81
3002,E1673405298,145
3002,T8269435170,155
3002,C6402359871,44
3002,J3514962087,154
3002,W4356107928,68
3002,Q2360418759,67
3002,G2451897036,127
3002,U2095178463,86
3002,T9732586410,166
3002,P5412390678,83
3002,Q5648703291,101
3002,F5302864791,81
3002,Y8475036921,72
3002,B1879032456,64
3002,W0952361847,105
3002,T4296517803,126
3002,H3926507184,83
3002,Q0367982154,79
3002,P6042857391,118
3002,H1397628450,110
3002,C4276859031,117
3002,W3157628940,133
3002,U5291380674,137
3002,D6524703819,81
3002,B9581423067,91
3002,J1904386572,126
3002,R4716290385,91
3002,B2164035879,158
3002,Y9246370185,121
3002,Z4163782905,140
3002,R2048751693,60
3002,Y2956704813,103
3002,Z3978254160,53
3002,L1628540379,66
3002,W1574236980,85
3002,O8021349576,58
3002,B2514703869,94
3002,K7628031945,62
3002,I3486120975,55
3002,C0246918357,48
3002,E8257346190,81
3002,L2836104579,124
3002,K4853910672,76
3002,I4293061875,61
3002,F4139687502,96
3002,L8371052946,74
3002,I7162485039,122
3002,K5846073291,97
3002,E0145628739,102
3002,D7053128649,43
9695,F6452318970,71
9695,O6905142873,80
9695,J8275146093,99
9695,E5236019847,106
9695,P6085273194,87
9695,J5397408216,73
9695,P8403576129,83
9695,Z5318094627,146
9695,C7162803495,160
9695,Q9807236514,87
9695,Q6049527831,94
9695,W9421087365,113
9695,G0359782164,89
9695,O8127643509,92
9695,K4501936827,133
9695,N8613254079,113
9695,O9126507843,45
9695,D0467529381,144
9695,K7160523984,77
9695,L6870129354,104
9695,X7431926508,152
9695,L4791583062,122
9695,I1756039428,131
9695,L8314629570,148
9695,C8315067249,57
9695,U1205648379,112
9695,H7106985423,131
9695,A8341952760,132
9695,C2341067589,75
9695,W5302164897,118
9695,T2083751649,138
9695,R2961780543,118
9695,E1673405298,116
9695,T8269435170,88
9695,C6402359871,89
9695,J3514962087,157
9695,W4356107928,135
9695,Q2360418759,65
9695,G2451897036,149
9695,U2095178463,107
9695,T9732586410,102
9695,P5412390678,70
9695,Q5648703291,148
9695,F5302864791,89
9695,Y8475036921,99
9695,B1879032456,73
9695,W0952361847,97
9695,T4296517803,78
9695,H3926507184,49
9695,Q0367982154,53
9695,P6042857391,55
9695,H1397628450,97
9695,C4276859031,74
9695,W3157628940,47
9695,U5291380674,75
9695,D6524703819,116
9695,B9581423067,117
9695,J1904386572,63
9695,R4716290385,140
9695,B2164035879,112
9695,Y9246370185,67
9695,Z4163782905,52
9695,R2048751693,103
9695,Y2956704813,132
9695,Z3978254160,138
9695,L1628540379,64
9695,W1574236980,74
9695,O8021349576,48
9695,B2514703869,120
9695,K7628031945,108
9695,I3486120975,63
9695,C0246918357,87
9695,E8257346190,54
9695,L2836104579,131
9695,K4853910672,104
9695,I4293061875,56
9695,F4139687502,70
9695,L8371052946,74
9695,I7162485039,56
9695,K5846073291,64
9695,E0145628739,67
9695,D7053128649,153
7163,F6452318970,99
7163,O6905142873,63
7163,J8275146093,132
7163,E5236019847,99
7163,P6085273194,99
7163,J5397408216,87
7163,P8403576129,137
7163,Z5318094627,135
7163,C7162803495,89
7163,Q9807236514,127
7163,Q6049527831,108
7163,W9421087365,141
7163,G0359782164,39
7163,O8127643509,114
7163,K4501936827,144
7163,N8613254079,66
7163,O9126507843,62
7163,D0467529381,138
7163,K7160523984,108
7163,L6870129354,149
7163,X7431926508,143
7163,L4791583062,69
7163,I1756039428,82
7163,L8314629570,113
7163,C8315067249,54
7163,U1205648379,137
7163,H7106985423,115
7163,A8341952760,94
7163,C2341067589,107
7163,W5302164897,53
7163,T2083751649,117
7163,R2961780543,100
7163,E1673405298,74
7163,T8269435170,155
7163,C6402359871,104
7163,J3514962087,124
7163,W4356107928,98
7163,Q2360418759,90
7163,G2451897036,167
7163,U2095178463,57
7163,T9732586410,107
7163,P5412390678,92
7163,Q5648703291,88
7163,F5302864791,152
7163,Y8475036921,64
7163,B1879032456,59
7163,W0952361847,88
7163,T4296517803,143
7163,H3926507184,54
7163,Q0367982154,47
7163,P6042857391,67
7163,H1397628450,142
7163,C4276859031,162
7163,W3157628940,68
7163,U5291380674,81
7163,D6524703819,104
7163,B9581423067,80
7163,J1904386572,81
7163,R4716290385,128
7163,B2164035879,109
7163,Y9246370185,71
7163,Z4163782905,51
7163,R2048751693,78
7163,Y2956704813,77
7163,Z3978254160,107
7163,L1628540379,97
7163,W1574236980,54
7163,O8021349576,98
7163,B2514703869,76
7163,K7628031945,119
7163,I3486120975,132
7163,C0246918357,44
7163,E8257346190,80
7163,L2836104579,57
7163,K4853910672,71
7163,I4293061875,110
7163,F4139687502,52
7163,L8371052946,102
7163,I7162485039,63
7163,K5846073291,120
7163,E0145628739,103
7163,D7053128649,147
6956,F6452318970,118
6956,O6905142873,57
6956,J8275146093,129
6956,E5236019847,70
6956,P6085273194,53
6956,J5397408216,127
6956,P8403576129,119
6956,Z5318094627,91
6956,C7162803495,99
6956,Q9807236514,96
6956,Q6049527831,146
6956,W9421087365,142
6956,G0359782164,71
6956,O8127643509,148
6956,K4501936827,59
6956,N8613254079,110
6956,O9126507843,94
6956,D0467529381,67
6956,K7160523984,109
6956,L6870129354,75
6956,X7431926508,85
6956,L4791583062,116
6956,I1756039428,60
6956,L8314629570,129
6956,C8315067249,90
6956,U1205648379,80
6956,H7106985423,93
6956,A8341952760,113
6956,C2341067589,85
6956,W5302164897,77
6956,T2083751649,69
6956,R2961780543,65
6956,E1673405298,153
6956,T8269435170,158
6956,C6402359871,61
6956,J3514962087,133
6956,W4356107928,58
6956,Q2360418759,147
6956,G2451897036,119
6956,U2095178463,93
6956,T9732586410,60
6956,P5412390678,94
6956,Q5648703291,75
6956,F5302864791,140
6956,Y8475036921,52
6956,B1879032456,87
6956,W0952361847,120
6956,T4296517803,158
6956,H3926507184,62
6956,Q0367982154,47
6956,P6042857391,114
6956,H1397628450,105
6956,C4276859031,59
6956,W3157628940,112
6956,U5291380674,122
6956,D6524703819,55
6956,B9581423067,128
6956,J1904386572,79
6956,R4716290385,50
6956,B2164035879,120
6956,Y9246370185,114
6956,Z4163782905,51
6956,R2048751693,174
6956,Y2956704813,51
6956,Z3978254160,109
6956,L1628540379,71
6956,W1574236980,73
6956,O8021349576,55
6956,B2514703869,117
6956,K7628031945,63
6956,I3486120975,112
6956,C0246918357,80
6956,E8257346190,57
6956,L2836104579,84
6956,K4853910672,104
6956,I4293061875,87
6956,F4139687502,135
6956,L8371052946,107
6956,I7162485039,120
6956,K5846073291,71
6956,E0145628739,96
6956,D7053128649,69
5541,F6452318970,76
5541,O6905142873,66
5541,J8275146093,96
5541,E5236019847,88
5541,P6085273194,100
5541,J5397408216,108
5541,P8403576129,58
5541,Z5318094627,90
5541,C7162803495,87
5541,Q9807236514,69
5541,Q6049527831,83
5541,W9421087365,144
5541,G0359782164,37
5541,O8127643509,152
5541,K4501936827,138
5541,N8613254079,107
5541,O9126507843,99
5541,D0467529381,107
5541,K7160523984,66
5541,L6870129354,102
5541,X7431926508,147
5541,L4791583062,109
5541,I1756039428,131
5541,L8314629570,54
5541,C8315067249,78
5541,U1205648379,158
5541,H7106985423,90
5541,A8341952760,156
5541,C2341067589,81
5541,W5302164897,123
5541,T2083751649,86
5541,R2961780543,140
5541,E1673405298,151
5541,T8269435170,63
5541,C6402359871,87
5541,J3514962087,115
5541,W4356107928,57
5541,Q2360418759,127
5541,G2451897036,56
5541,U2095178463,122
5541,T9732586410,76
5541,P5412390678,77
5541,Q5648703291,153
5541,F5302864791,159
5541,Y8475036921,72
5541,B1879032456,139
5541,W0952361847,112
5541,T4296517803,154
5541,H3926507184,121
5541,Q0367982154,73
5541,P6042857391,62
5541,H1397628450,92
5541,C4276859031,63
5541,W3157628940,106
5541,U5291380674,125
5541,D6524703819,68
5541,B9581423067,120
5541,J1904386572,73
5541,R4716290385,71
5541,B2164035879,159
5541,Y9246370185,76
5541,Z4163782905,81
5541,R2048751693,98
5541,Y2956704813,111
5541,Z3978254160,150
5541,L1628540379,60
