plant_code,day,client_code,vehicle_id,vehicle_type,qty,carry_standard_size,min_standard_size,occupied_size
1389,6,H9805137,1,15.4,8.0,172,118,17.6
4375,3,C6914870,1,19.1,7.0,212,134,14.0
4720,1,R6849103,1,19.1,9.0,212,134,14.4
5295,2,H4602978,1,19.1,15.0,212,134,30.0
5295,4,Y3759180,1,19.1,12.0,212,134,24.0
5295,5,I0469817,1,19.1,9.0,212,134,18.0
5295,7,S5470936,1,19.1,8.0,212,134,17.6
1389,6,H9805137,1,15.4,1.0,172,118,2.8
4375,3,C6914870,1,19.1,5.0,212,134,5.0
4720,1,R6849103,1,19.1,12.0,212,134,18.0
5295,2,H4602978,1,19.1,9.0,212,134,14.4
5295,4,Y3759180,1,19.1,7.0,212,134,11.2
5295,5,I0469817,1,19.1,13.0,212,134,20.8
5295,7,S5470936,1,19.1,15.0,212,134,25.5
1389,6,H9805137,1,15.4,14.0,172,118,30.800000000000004
4375,3,C6914870,1,19.1,3.0,212,134,4.800000000000001
4720,1,R6849103,1,19.1,14.0,212,134,15.400000000000002
5295,2,H4602978,1,19.1,5.0,212,134,7.5
5295,4,Y3759180,1,19.1,10.0,212,134,15.0
5295,5,I0469817,1,19.1,24.0,212,134,36.0
5295,7,S5470936,1,19.1,24.0,212,134,62.400000000000006
1389,6,H9805137,1,15.4,9.0,172,118,15.3
4375,3,C6914870,1,19.1,9.0,212,134,13.5
4720,1,R6849103,1,19.1,10.0,212,134,18.0
5295,2,H4602978,1,19.1,12.0,212,134,21.6
5295,4,Y3759180,1,19.1,15.0,212,134,27.0
5295,5,I0469817,1,19.1,3.0,212,134,5.4
5295,7,S5470936,1,19.1,7.0,212,134,19.6
1389,6,H9805137,1,15.4,13.0,172,118,19.5
4375,3,C6914870,1,19.1,3.0,212,134,3.3000000000000003
4720,1,R6849103,1,19.1,12.0,212,134,14.4
5295,2,H4602978,1,19.1,21.0,212,134,25.2
5295,4,Y3759180,1,19.1,17.0,212,134,20.4
5295,5,I0469817,1,19.1,18.0,212,134,32.4
5295,7,S5470936,1,19.1,3.0,212,134,4.5
1389,6,H9805137,1,15.4,12.0,172,118,28.8
4375,3,C6914870,1,19.1,3.0,212,134,3.6
4720,1,R6849103,1,19.1,9.0,212,134,16.2
5295,2,H4602978,1,19.1,6.0,212,134,10.2
5295,4,Y3759180,1,19.1,9.0,212,134,19.8
5295,5,I0469817,1,19.1,8.0,212,134,9.6
5295,7,S5470936,1,19.1,2.0,212,134,3.6
1389,6,H9805137,1,15.4,3.0,172,118,8.100000000000001
4375,3,C6914870,1,19.1,22.0,212,134,39.6
4720,1,R6849103,1,19.1,8.0,212,134,16.0
5295,2,H4602978,1,19.1,11.0,212,134,24.200000000000003
5295,4,Y3759180,1,19.1,27.0,212,134,29.700000000000003
5295,5,I0469817,1,19.1,12.0,212,134,20.4
5295,7,S5470936,1,19.1,9.0,212,134,14.4
1389,6,H9805137,1,15.4,4.0,172,118,6.4
4375,3,C6914870,1,19.1,14.0,212,134,28.0
4720,1,R6849103,1,19.1,20.0,212,134,32.0
