day,plant_code,client_code,product_code,vehicle_id,vehicle_type,qty,standard_size,carry_standard_size,min_standard_size,occupied_size
1,2758,L3894506,X9502617384,1,14.3,9.0,1.8,98,69,16.2
1,2758,L3894506,E2718490536,1,14.3,30.0,1.1,98,69,33.0
1,2758,L3894506,W8276035941,1,14.3,18.0,1.7,98,69,30.6
1,2758,L3894506,Q1045326987,1,14.3,16.0,1.1,98,69,17.6
1,1693,Q7259618,X9502617384,2,14.3,7.0,1.8,98,69,12.6
1,1693,Q7259618,E2718490536,2,14.3,13.0,1.1,98,69,14.3
1,1693,Q7259618,V7206849513,2,14.3,1.0,2.6,98,69,2.6
1,1693,Q7259618,W8276035941,2,14.3,20.0,1.7,98,69,34.0
1,1693,Q7259618,L0234618957,2,14.3,23.0,1.5,98,69,34.5
1,1693,C8692154,E2718490536,3,4.9,18.0,1.1,42,23,19.8
1,1693,C8692154,L0234618957,3,4.9,14.0,1.5,42,23,21.0
1,9625,T4921653,W8276035941,4,14.3,6.0,1.7,98,69,10.2
1,9625,T4921653,X9502617384,4,14.3,15.0,1.8,98,69,27.0
1,9625,T4921653,E2718490536,4,14.3,19.0,1.1,98,69,20.9
1,9625,T4921653,L8043197625,4,14.3,22.0,1.4,98,69,30.8
1,9625,X3270591,L8043197625,5,14.3,19.0,1.4,98,69,26.6
1,9625,X3270591,X9502617384,5,14.3,3.0,1.8,98,69,5.4
1,9625,X3270591,E2718490536,5,14.3,8.0,1.1,98,69,8.8
1,9625,X3270591,W8276035941,5,14.3,6.0,1.7,98,69,10.2
1,9625,X3270591,L0234618957,5,14.3,10.0,1.5,98,69,15.0
1,9625,X3270591,K6084371529,5,14.3,4.0,2.6,98,69,10.4
1,9625,X3270591,Q1045326987,5,14.3,19.0,1.1,98,69,20.9
1,1693,T2870351,W8276035941,6,4.9,17.0,1.7,42,23,28.9
1,1693,T2870351,L0234618957,6,4.9,8.0,1.5,42,23,12.0
1,1693,O7624018,W8276035941,7,5.6,13.0,1.7,52,28,22.1
1,1693,O7624018,L0234618957,7,5.6,7.0,1.5,52,28,10.5
1,1693,O7624018,V7206849513,7,5.6,7.0,2.6,52,28,18.2
1,6908,B0672593,K6084371529,8,14.3,17.0,2.6,98,69,44.2
1,6908,B0672593,R6489751023,8,14.3,8.0,2.9,98,69,23.2
1,6908,B0672593,X9502617384,8,14.3,13.0,1.8,98,69,23.4
1,6908,B0672593,E2718490536,8,14.3,6.0,1.1,98,69,6.6000000000000005
1,2758,N9026371,W8276035941,9,14.3,19.0,1.7,98,69,32.3
1,2758,N9026371,Q1045326987,9,14.3,15.0,1.1,98,69,16.5
1,2758,N9026371,L0234618957,9,14.3,2.0,1.5,98,69,3.0
1,2758,N9026371,V7206849513,9,14.3,9.0,2.6,98,69,23.4
1,2758,X2714950,L8043197625,10,14.3,8.0,1.4,98,69,11.2
1,2758,X2714950,X9502617384,10,14.3,1.0,1.8,98,69,1.8
1,2758,X2714950,V7206849513,10,14.3,5.0,2.6,98,69,13.0
1,2758,X2714950,W8276035941,10,14.3,10.0,1.7,98,69,17.0
1,2758,X2714950,K6084371529,10,14.3,15.0,2.6,98,69,39.0
1,2758,X2714950,T1675823490,10,14.3,1.0,2.9,98,69,2.9
1,2758,X2714950,Q1045326987,10,14.3,10.0,1.1,98,69,11.0
1,1693,Y0289341,X9502617384,11,14.3,13.0,1.8,98,69,23.4
1,1693,Y0289341,E2718490536,11,14.3,30.0,1.1,98,69,33.0
1,1693,Y0289341,W8276035941,11,14.3,14.0,1.7,98,69,23.8
1,1693,Y0289341,L0234618957,11,14.3,7.0,1.5,98,69,10.5
1,1693,Y0289341,K6084371529,11,14.3,2.0,2.6,98,69,5.2
1,1693,W1426053,W8276035941,12,14.3,11.0,1.7,98,69,18.7
1,1693,W1426053,X9502617384,12,14.3,7.0,1.8,98,69,12.6
1,1693,W1426053,E2718490536,12,14.3,14.0,1.1,98,69,15.400000000000002
1,1693,W1426053,V7206849513,12,14.3,7.0,2.6,98,69,18.2
1,9625,Z8651720,L8043197625,13,14.3,8.0,1.4,98,69,11.2
1,9625,Z8651720,E2718490536,13,14.3,14.0,1.1,98,69,15.400000000000002
1,9625,Z8651720,W8276035941,13,14.3,19.0,1.7,98,69,32.3
1,9625,Z8651720,L0234618957,13,14.3,18.0,1.5,98,69,27.0
1,9625,Z8651720,Q1045326987,13,14.3,11.0,1.1,98,69,12.1
1,9625,N5496201,L8043197625,14,6.5,10.0,1.4,60,43,14.0
1,9625,N5496201,X9502617384,14,6.5,1.0,1.8,60,43,1.8
1,9625,N5496201,E2718490536,14,6.5,13.0,1.1,60,43,14.3
1,9625,N5496201,W8276035941,14,6.5,17.0,1.7,60,43,28.9
1,1693,R6851790,X9502617384,15,14.3,19.0,1.8,98,69,34.2
1,1693,R6851790,E2718490536,15,14.3,7.0,1.1,98,69,7.700000000000001
1,1693,R6851790,V7206849513,15,14.3,2.0,2.6,98,69,5.2
1,1693,R6851790,W8276035941,15,14.3,21.0,1.7,98,69,35.7
1,1693,R6851790,L0234618957,15,14.3,10.0,1.5,98,69,15.0
1,1693,N0129763,E2718490536,16,4.9,23.0,1.1,42,23,25.3
1,1693,N0129763,L0234618957,16,4.9,11.0,1.5,42,23,16.5
1,1693,P9567830,X9502617384,17,14.3,13.0,1.8,98,69,23.4
1,1693,P9567830,E2718490536,17,14.3,10.0,1.1,98,69,11.0
1,1693,P9567830,V7206849513,17,14.3,3.0,2.6,98,69,7.800000000000001
1,1693,P9567830,W8276035941,17,14.3,16.0,1.7,98,69,27.2
1,1693,P9567830,L0234618957,17,14.3,19.0,1.5,98,69,28.5
1,6908,P9567830,L8043197625,18,4.9,10.0,1.4,42,23,14.0
1,6908,P9567830,E2718490536,18,4.9,9.0,1.1,42,23,9.9
1,6908,P9567830,Q1045326987,18,4.9,16.0,1.1,42,23,17.6
1,9625,P8720356,W8276035941,19,5.6,9.0,1.7,52,28,15.3
1,9625,P8720356,L0234618957,19,5.6,10.0,1.5,52,28,15.0
1,9625,P8720356,Q1045326987,19,5.6,19.0,1.1,52,28,20.9
1,6908,O7624018,L8043197625,20,14.3,12.0,1.4,98,69,16.799999999999997
1,6908,O7624018,R6489751023,20,14.3,16.0,2.9,98,69,46.4
1,6908,O7624018,T1675823490,20,14.3,11.0,2.9,98,69,31.9
1,6908,F4529801,L8043197625,21,6.5,6.0,1.4,60,43,8.399999999999999
1,6908,F4529801,X9502617384,21,6.5,12.0,1.8,60,43,21.6
1,6908,F4529801,E2718490536,21,6.5,3.0,1.1,60,43,3.3000000000000003
1,6908,F4529801,Q1045326987,21,6.5,24.0,1.1,60,43,26.4
1,1693,V5961720,K6084371529,22,14.3,5.0,2.6,98,69,13.0
1,1693,V5961720,X9502617384,22,14.3,16.0,1.8,98,69,28.8
1,1693,V5961720,W8276035941,22,14.3,10.0,1.7,98,69,17.0
1,1693,V5961720,L0234618957,22,14.3,11.0,1.5,98,69,16.5
1,1693,V5961720,E2718490536,22,14.3,19.0,1.1,98,69,20.9
1,6908,G2160978,K6084371529,23,5.6,1.0,2.6,52,28,2.6
1,6908,G2160978,X9502617384,23,5.6,7.0,1.8,52,28,12.6
